stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,1038.48,14667.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522.19,0,0,0,0,0,0
  5-6,1008.04,15280.15,24.67,0,0,0,0,0,0,73.49,0,0,0,0,0,0,0,826.32,72.36,0,0,150.28,180.86,0,0,0,0,0,0
  7-9,129.37,97.65,137.9,0,0,313.23,0,0,0,75.89,0,0,0,0,0,0,0,3194.73,96.82,0,0,1111.49,3.28,0,0,0,0,0,0
 10-12,0,15.66,12.83,0,0,74,0,0,0,16.72,0,0,0,0,0,0,0,500.02,9.45,0,0,120.42,0,12.01,0,26.17,0,0,0
 14-21,0,0,0,8.11,7.29,0,0,0,0,0,0,1.16,0,1.33,0,0,0.91,4.11,0,0,0.94,0.96,0,0,2.83,0,0,3.45,0
 24-34,0,0,0,2.07,0,0,0,0,0,0,0,0,0,2.28,0.93,0,0,3.64,0,0,0,0,0,0,0,0.63,0,0,4.68
 36-46,0,0,0,0.76,0,0,0,0,0,0,0,0,0,1.98,0,0,0.86,1.4,0,0,0,0,0.99,0,0,0,5.28,2.87,0.56
 48-58,0,0,0,0,0,1.02,0,0.98,0,0,0,0,0.7,2.25,0,0,0.61,2.31,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.36,0,0,5.38,0,1.65,0,0,0,0,1.63,0,1.77,0,0,0,0,0,0,0,0,0,0,2.29
 72-82,0,0,0,0.73,0,0,1.74,0,0,0,0.7,0,0,1.1,0,0,0,2.68,0,0.88,0,0,0,0,0,0,0,0,1.21
 84-94,0,0,0,2.51,0,0,0,0,0.68,0,0.97,0,0,0,0,0,0,2,0,0,1.05,0,0.82,0,0,0,0,1.51,0
 96-106,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0.73,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.6,0,1.23,0,1.01,2.17,0,0,0,0,2.26,0,0.56,0.7,4.02,1.31,0,0,0,0,0,0,0,0,0,0.92
120,0,0,0,0,0,9.78,0,2.35,0,0,0,0,0,5.92,0,2.13,0,2.48,0,0,0,0,0,0,0,0,0,0,0
