stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.05,965.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,0,0,0,0,0,0,0
  5-6,16.86,928.03,0,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,55.32,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0
  7-9,28.45,13.26,0,33.56,0,0,0,88.83,0,0,0,0,0,23.82,0,0,0,0,0,0,0,0,0,0,0,552.64,10.15,0,0,204.91,0,0,6.03,0,0,0,0,0,0,0,0,0
 10-12,0,12.93,0,103.75,0,4.69,0,69.17,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,719.12,21.76,0,0,365.54,0,0,4.37,5.64,42.59,0,3.24,0,0,0,0,0
 14-21,0,0,0,1.78,26.28,10.95,0,27.13,0,0,0,17.8,0.82,0,0,0,0,0,0,0,0,60.12,0,0,14.45,345.06,9.09,3.55,8.38,11.03,0,8.43,0,43.99,3.89,0,33.59,93.75,0,1.62,0,0
 24-34,0,0,0.65,4.72,20.65,0,0,72.19,0,0,0,28,0,0,0,0,0,9.12,3.89,5.2,0,71.62,0,0,28.81,722.88,2.77,9.41,5.49,0,0,6.63,0,2.32,2.8,3.1,6.94,139.27,0,3.96,0,3.21
 36-46,0,0,0,0,7.69,0.64,0,101.64,0,0,0,29.91,0,0,1.66,0,0,4.83,2.22,0.94,6.3,108.76,0,12.26,26.42,542.46,0.72,4.9,2.11,0,0,1.24,0,0,1.02,0,0,140.06,0,7.35,0,0
 48-58,0,0,0,0,3.27,1.35,0,128.45,0,0.75,2.26,18.51,0,0,0,0,0,0.47,0.43,2.68,0,107.87,0,11.39,7.23,219.95,0,0.86,1.28,0,0,3.6,0,0,0.53,0,0,57.61,0.49,1.39,0,3.66
 60-70,0,0,0,0,13.92,0,0,75.38,0,0,1.61,45.02,0.81,0,0,0.59,0,1.65,0,1.34,0,102.75,0.84,13.84,11.37,164.85,0,6.82,3.7,0,0,2.71,0,0,0,0,0,40.52,0.67,1.02,3.74,1.5
 72-82,0,0,0,0,7.42,1.45,0,43.14,0,0,3.78,47.5,0,0,2.65,0,0,0,0.89,2.9,0,146.65,0.58,10.53,8.05,150.33,1.26,3.31,6.25,0,0,0.87,0,0,0,0,0,27.16,4.86,1.52,0,0
 84-94,0,0,0,0,5.73,0.64,0,48.79,0,0,7.51,9.83,1.94,0,0.98,0.7,0.72,4.68,1.3,0,0,156.51,0,11.84,9.94,66.83,0.89,2.4,3.22,0,0.79,2.07,0,0,0,0,0,5.97,9.22,1.22,2.02,0
 96-106,0,0,0,0,7.51,3.16,0.62,24.32,0.67,0.57,0.72,30.38,1.71,0,2.22,1.63,0.67,0,1.3,0,0,89.32,1.22,4.07,7.58,92.6,2.18,3.32,5.31,0,1.16,0.94,0,0,0,0.82,0,13.93,7.15,4.15,1.97,0
108-118,0,0,0,0,4.29,3.22,0,41.47,0,2.01,2.42,23.22,0,0,1.52,1.41,0,1.81,0,0,0,127.04,0,5.03,9.94,147.76,0.54,2.44,2.27,0,5.16,5.74,0,0,0.43,0,0,10.12,5.44,2.37,3.17,0.42
120,0,0,1.22,0,23.04,3.92,1.6,64.74,1.26,0,0,51.52,1,0,2,2.49,0,1.11,1.12,0,0,93.95,1.16,6.5,6.03,141.94,6.35,0,4.78,0,0,0,0,0,0,0,0,4.01,2.24,21.43,0,0
