stage,axial,blastomeres,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,vasculature
  3-4,21.23,341.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,187.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,11.27,16.19,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.18,0,0,7.35,0,0
 14-21,0,0,0,1.43,0,0,0,0,0,0,0,0.94,0,6,0
 24-34,0,0,0,0.82,0,0,0,0,0.61,2.06,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0
 48-58,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.18,0.96,10.35,0,0,0,0,0
 96-106,0,0,0.96,0,1.1,1.07,0.59,0,0,0,0,0,0,0,0.6
108-118,0,0,0,1.01,0,0,0,0,0,3.11,0,0,0,0,0
