stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.94,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,0,0,0,18.47,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.63,0,0,0,17.87,0,0,0,0,16.16,0,0,0,0,0,0,0
 14-21,0,0,1.08,9.69,6.14,3.58,0,0,0,1.5,0,0,0,0,0,0,0,3.76,0,0,6.75,47.17,0,0,0,0,0,0,0,2.31,0,0,4.9,31.13,0,0,0,0
 24-34,0,0,0.59,1.99,0.89,3.36,0,0,4.1,1.29,0,0,0,0,0.74,0,0,26.8,0,0,8.08,109,0.63,4.1,2.01,0,0,2.61,0,0,4.21,1.03,1.64,26.07,0,10.31,0,0
 36-46,0,0,0.93,4.38,0,11.13,0,1.17,4.34,0,0,0,4.16,0,0.56,10.04,1.46,28.62,0,0,13.92,116.45,1.44,0.81,0.84,0,0,4.49,0,0,0,0,0,41.89,0,12.34,0,0
 48-58,0,0,0,7.68,2.21,24.05,0,0.41,13.88,0,0.55,3,0,0,0.5,0,0,28.9,0,0,6.71,70.62,0,0,0,0,0,1.96,0,0,0,0,0,15.09,0,0.51,0,0.49
 60-70,0,0,0,12.45,0,24.08,7.34,0,15.59,0,2.61,1.88,0,7.18,0,1.37,0,40.54,0,7.83,3.99,64.58,0,1.19,0.87,0,2.29,11.82,0,0,0,0,0,7.66,0,6.62,0,5.81
 72-82,0,0,0,0.67,0,21.4,0,0,20.41,1.38,0,0.8,0,0,2.77,1.46,0,40.73,1.48,0.76,5.43,39.19,0,0,5.54,0,0,0.51,0,0,0,0,0,0,0,9.59,0,0
 84-94,0,0,0,2.45,0,9.18,0,0,18.75,0,0,1.9,0,0,0,0,0,17.83,0,2.25,1.55,10.92,0,0,0,0,0,4.15,0,0,0,0,0,0,0,1.17,0.82,0
 96-106,0,0,0,0,2.58,5.68,0,0,5.07,0.69,0,4.81,0.89,0,0.94,0.63,0,27.05,0,0,0,15.57,0,0,0,0,3,4.48,0,0,0,0,0,3.04,0.72,10.35,0,0
108-118,0,0.92,0,4.85,0,3.71,3.5,0,5.54,0,2.38,0.95,0.85,0.44,2.84,0,0,36.7,0,0,5.06,49.75,0,0,0.87,0,0,2.22,0,0,0,0,0,3.15,0,0.68,0,2.17
120,0,0,0,18.74,2.39,7.6,1.53,1.56,0,1.5,0,7.17,3.6,0,0,0,0,25.21,0,0,1.03,34.42,0,0,12,0,0,5.16,0,0,0,0,0,0,0,5.74,11.83,0
