stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,65.17,332.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,380.92,0,0,0,0,17.77,0,0,0,0,0,0,0,8.58,0,0,0,0,0
  7-9,5.33,0,0,0,0,0,0,0,0,49.37,10.4,0,0,12.92,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,4.4,0,0,0
 36-46,0,0,0,0,0,0,0,0.95,0,16.67,0,0,0,0,0,0,2.45,0,0,0
 48-58,0,0,0,0,3.11,2,0,0.78,0,72.77,0,0,0,0,0,0,3.06,0,0.63,0
 60-70,0,0,0,0,4.66,0,0,1.54,0,111.2,0,0,0.62,0,0,0,4.38,0,0,0
 72-82,0,0,0.65,0,18.85,0.79,0,2.59,0,135.04,0,0,0,0,4.57,0.97,15.36,0.68,0,0
 84-94,0,0,0.89,0,18.59,0,0,0,0,88.12,0,0,0,0,0,0,12.29,0,0,0
 96-106,0,0,1.22,0,1.24,11.95,0,1.37,1.26,56.17,0,4.68,1.34,0,0,0,4.97,0,0,1.59
108-118,0,0,2.22,0,5.8,0,0,0,0,95.71,0,0,0.72,0,0,0,0,0.51,0,1.17
120,0,0,1.43,0,12.67,26.81,0,0,0,73.64,0,0,0,0,0,0,0,0,0,0
