stage,endoderm,epidermis,erythrocytes,eye,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
 14-21,0.91,0,0.83,0,8.85,0,0,0,0,0,0,5.03,0,4.29,3.51,0,2.89,1.13,16.87,0,0
 24-34,0,0.65,0,0,4.35,0,0,0.79,0,0,0.61,5.65,3.21,0,0,0,2.18,0,18.25,0,0
 36-46,0,0,0,0,2.17,0,0,6.89,0,0,0,16.95,2.15,0,0,0,2.92,0,8.49,0,0
 48-58,0,0,0,0.64,12.06,0,0,4.36,0,0,0,13.37,1.37,0.44,0,0,1.89,0,10.03,0,0
 60-70,0,0,0,0,15.31,0,0,0,0,0,0,6.06,1.83,0,0,0,0,0,2.09,0,0
 72-82,0,0,0,0.55,19.23,1.04,0,0,0,0.55,0,4.39,2.16,1.69,0,0,0,0,3.26,0,0
 84-94,0,0,0,0,17.18,1.12,0.58,0,0.98,3.19,0,9.85,2.21,8.55,0,0,0.84,0,13.57,0.71,1.34
 96-106,0,0,0,3.03,14.61,0,1.92,0,4.31,0,0,1.49,7.66,6.64,0,0,0,0,6.02,0,0
108-118,1.06,0,0,0,4.29,0,0.92,0,4.98,2.16,0,18.03,1.81,5.2,0,0,0.97,0,11.11,0,0
120,0,0,0,0,26.79,0,0,0,0,0,0,0,0,6.2,0,1.01,0,0,0,0,0
