stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.23,0,0,9.33,0,0,0,0,0,0,0,0
 14-21,2.06,885.33,12.46,0.96,0,0,0,19.81,3.58,0,0,0,0,0,0,0,62.72,3.13,0,45.4,182.71,0,0,0,2.33,3.95,0,66.3,137.39,0,0,0
 24-34,0,425.92,0,4.13,0,1.38,0,34.95,0,0,1.01,0,0,0,0,0,36.73,3.34,1.51,22.99,121.41,0,0,0,2.41,0,0,2.49,95.63,0,0,1.59
 36-46,0,158.46,0,0.82,8.99,13.59,0,15.98,0,0,0,11.77,0,0,0,0,21.5,0,0.92,7.22,68.64,0,0,0,2.4,0,4.84,0.8,21.94,0,0,0
 48-58,0,95.38,0,10.17,1.11,12.2,0,19.16,0,0.48,0,0,0,0,0,0,38.44,4.75,11.83,4.21,17.97,1.84,0,0,0,0,0,0,11.04,0,0,0
 60-70,0,110.67,0,9.71,0,9.29,0,2.21,0.77,0,0,0,0,0,0,0,29.07,2.16,2.39,3.48,44.21,1.19,0,0,11.14,0,1.47,0,3.3,0,0,0
 72-82,0,37.16,0,9.39,0,16,9.82,11.32,0,0,0,0,0,0,0,0,33.35,2.75,1.12,5.99,39.17,0,0,0,9.47,0,0,0,0,0,0.85,0
 84-94,0,76.88,0,1.86,0,11.58,0,3.13,0,0,0,0,0,0.62,0,0,28.22,0.71,3.17,3.46,41.57,0,0,0,16.75,0,2.47,0,5.15,2.38,0,0
 96-106,0,90.76,6.79,16,0,13.88,0,5.41,0.7,0,2.28,0,0,0,1.33,1.15,36.75,2.69,0,6.16,60.14,0,0,0,10.29,0,0,0,4.16,0,0,0
108-118,0,107.92,0,16.86,0,10.3,0.6,30.16,0.86,0,0,0,0,0.66,0,0.58,30.13,1.14,0,7.55,39.05,0,0,0,8.55,0,0.56,0,0,0,0,0
120,0,56.34,0,6.92,0,10.85,0,60.29,1.26,0,0,0,2.37,0,0,0,26.34,2.82,0,1.54,82.07,0,2.44,0,2.73,0,0,0,0,1.28,0,0
