stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,95.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.02,0,0,0,15.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.28,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,1.06,0,0,2.84,0,0,0,3.36,0,0,0,1.21,0,0,0,0,0,0,0,0.92,265.82,0,0,0,0,0,0,0,2.8,0.91,91.13,0,0,0,0,0
 24-34,0,0.65,0,11.76,0,0,31.8,0,0,0,12.2,0,0,0,16.85,0,0,0,0,0,9.73,0,3.77,2658.95,0,17.62,0,0,1.14,1.65,5.06,11.47,0,271.02,0,0,0,0,0
 36-46,0,0,0,7.15,0,0,300.62,0.7,0,0,74.53,0,0,0,26.87,3.61,0,0,0,0,19.51,0.67,1.73,8433.58,0,35.78,1.09,0,0,11.79,2.08,2.56,0,898.45,0,0,1.54,0,2.45
 48-58,0,0,0,24.23,1.97,0,1772.54,0,0,5.7,157.58,0,0,3.01,50.18,0.76,11.75,2.34,5.56,8.68,59.59,2.06,7.39,12129.92,5.29,12.88,1.21,0,0.61,26.9,0.49,4.75,0,1741.06,0,1.73,7.49,0,17.73
 60-70,0,0,0,20.8,5.6,0,5844.43,0,3.47,9.42,151.94,2.17,0,1.26,58.74,0,0,0,2.83,0,64.77,3.11,11.23,13293.25,0,11.84,6.83,0,1.11,3.31,6.53,1.71,0,1824.02,1.62,7.36,4.04,2.98,20.43
 72-82,0,7.28,0,62.25,21.28,0,10202.28,0,1.2,13.84,260.08,2,0.5,0,50.4,1.26,5.35,2.82,4.14,0.85,151.89,6.75,7.82,9991.88,0,9.47,6.92,0,0,15.46,1.5,1.5,0,1358.39,6.74,4.83,12.2,6.9,40.41
 84-94,0,0,0,86.14,5.37,0.56,7045.61,0,1.47,2.73,269.4,2.53,0,4.14,66.62,4.78,6.59,0,0,0.83,111.68,10.66,8.23,6584.05,0,8.55,1.57,0,0,22.62,3.77,0.64,0,1020.33,14.81,6.03,11.76,4.4,43.59
 96-106,0,0.91,0,82.02,51.31,0,8298.82,0.71,2.5,13.67,272.15,4.33,0,2.56,75.72,1.54,3.22,0,12.54,1.26,183.21,4.62,12.26,5867.93,1.25,10.79,0.56,0,4.79,28.94,0,0.67,0,459.56,14.75,3.54,1.64,3.84,10.79
108-118,0,2.54,0,104.94,16.4,3.29,8478.87,0,0,2.72,275.07,5.1,0,3.8,74.61,0.49,0,0,3.73,0,152.36,2.14,2.55,9666.67,2.92,12.18,2.1,0,0,9.06,0.94,1.9,0,353.64,34.54,0.45,13.03,2.17,3.82
120,0,0,0,82.51,11.89,0,5151.5,0,1.16,0,332.36,1.21,0,0,122.44,0,3.86,0,1.4,0,111.3,0,12.19,8995.09,3.77,6.25,0,0,6.67,3.33,0,0,0,261.71,9.87,1.54,16.95,1.43,15.67
