stage,blastomeres,eye,neural,paraxial_mesoderm
  3-4,9.49,0,0,0
  5-6,7.35,0,0,0
  7-9,0,0,5.26,3.22
 14-21,0,0,1.39,0
 96-106,0,5.08,0,0
