stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,notochord,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,10.91,0,0,0,0,0,0,0
 14-21,1.04,12.39,2.37,0,0,0,0,0,5.06,2.27,12.96,0.97,3.67,11.11,5.89,9.86,14.46,1.45
 24-34,0.81,1.5,5.92,0.89,1.06,0,3.53,1.21,8.63,4.49,14.23,0.7,5.92,2.33,6.82,7.8,8.65,22.33
 36-46,0,0,0,1.29,0,0,0,0.57,10.87,2.82,15.18,0,2.7,0,8.21,0,3.01,17.75
 48-58,0,1.7,0,4.74,0,0.98,0,0,5.2,2.69,5.76,0,0,0,7.49,0,4.69,12
 60-70,0,0,0,3.47,0,8.24,2.66,0,1.53,0,3.72,0,1.45,0,4.97,0,0,2.33
 72-82,0,0,0,0,0,0.77,0,0,1.14,5.39,0,0,0,0,3.04,0,0,5.31
 84-94,0,0,0,0,0,2.08,0,0,2.44,0,0,0,0,0,0,0,0,1.08
 96-106,0,0,0,0,0,0,0,0,5.73,0,2.21,0,0,0,0,0,0,7.74
108-118,0,0,0,3.76,0,0,0,0,0,0,1.11,0,1.19,0,0,0,0,0.53
