stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.48,83.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11.93,0,0,15,0,0,16.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.4,0,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.18,22.67,0,0,142.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21.08,0.94,0.9,0,0,0,2.19,0,0,0,6.7,0,0,0,6.3,0,0,8.53,89.59,2.53,0,0,0,0,0,0,2.23,0.83,3.15,4.86,28.78,0,0,0,0,0
 24-34,0,0,1.34,32.14,0.69,9.04,0,0,0,6.88,0,0,0,0,2.73,0,1.69,37.47,0,0,16.96,594.37,4.86,0.63,0,0,2.91,0,0,0,0,0,2.18,127.02,0,0,7.47,0,0
 36-46,0,0,0,17.83,0,6.98,0,1.17,0,11.32,0,0,0,0,9.92,0,0,26.94,0,0,6,579.58,2.35,0,1.88,0,0,0,0,0,0,0,0,94.47,0,0,0,0,3.65
 48-58,0,0,0,10.29,0,26.21,0,0,3.78,27.61,0,0,6.68,0,6.12,6.95,0,65.03,0,0,7.63,556.55,0,0.9,0,0,0,1.33,0,0,0,0,0,95.19,0,0,1.49,0,7.97
 60-70,0,0,0,3.16,0,23.92,0.94,0,0.84,49.78,0,0,0,0,1.06,0,0,64.66,1.91,0,5.4,704.96,6.21,0,0,0,4.91,4.28,0,0,0,0.65,0,69.29,0,0,1.31,0,16.19
 72-82,0,0,0,3.57,1.89,32.61,0,0,2.77,38.82,0,2.99,0,0,0.75,1.36,0.64,103.64,0,5.07,5.08,537.75,0,0,0,0,0,0,0,0,0,0,0,36.59,1.21,0,12.5,0,19.83
 84-94,0,0,0,2.64,0,42.86,0,1.11,1.27,12.25,0,0,0,0,2,0,0,54.81,0,1.38,4.47,420.37,0,0,0,0,0,0.69,0,0,0,0,0,26.15,0,1.04,5.98,2.93,31.13
 96-106,0,0,0,3.69,0,18.66,0,0,0,30.66,1.48,0,0,0,1.28,0,0,49.58,0,1.32,0.96,280.84,0,0,0,0,1.57,0,0,0,0,0,0,15.11,0,1.15,3.94,1.85,20.43
108-118,0,0,0,4.67,0.63,17.97,0,0,0,37.06,0,6.78,0,0,0.45,0,1.75,63.36,0,0,2.12,415.19,0,0,5.87,0,0.87,5.57,0,0,0,0,0,8.08,0,0,0,0,15.95
120,0,0,0,0,10.45,62.87,0,0,0,69.39,0,2.11,0,0,5.57,1.08,0,174.13,0,0,3.45,971.98,0,0,17.67,0,0,0,0,0,2.43,0,0,17.75,0,16.31,0,0,0
