stage,blastomeres,endoderm,eye,mesenchyme,neural,paraxial.mesoderm,vascular.smooth.muscle
  3-4,28.86,0,0,0,0,0,0
  5-6,19.76,0,0,0,0,0,0
  7-9,6.88,0,3.52,0,57.57,9.21,0
 10-12,0,4.05,0,0,11.04,9.44,0
 72-82,0,0,0,0.74,2.25,0,0
120,0,0,0,0,0,0,11.26
