stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.9,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0
 24-34,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,4.36,0,0,0,0,0,1.04,0,0,0,0,0,1.65,0,0
 36-46,0,0,0,0,0,0,3.12,0,0.62,0,1.02,0,0,0,0,0,0,0,0,14.84,0,0,1.29,40.48,0,0.63,1.84,0,0,0,0,0,2.06,0,0,0,0,0
 48-58,0,0,0,6.25,0,0,28.56,0,3.38,0.45,1.45,1.95,0,0,6.53,0,0,4.63,0,8.67,0,7.6,2.01,36.36,1.3,0.41,3.11,0,0,1.89,0,0,0,0,0.84,6.54,0,0
 60-70,0,0.65,0,20.15,0,0,57.05,0,0,0,13.21,5.39,0,0,1.18,0,0,8.7,0,77.27,0,5.58,11.45,57.43,0.96,0,5.64,0,2.09,3.72,0.68,0,0,0,0.63,0,0,0
 72-82,0,2.93,0,22.98,0,2.79,52.81,0,0.55,0,48.26,16.92,0,0,0.61,0,0,12.45,0,151.41,0,9.07,22.86,60.71,0.57,1.28,8.91,0,4.63,6.57,1.78,0,4.1,3.84,6.58,8.05,1.14,0
 84-94,0,1.89,0,26.85,8.96,5.02,54.98,0,0,0,42.79,57.46,2.65,0,3.64,1.25,0,24.01,0,131.16,0,7.37,17.62,49.41,5.82,2.49,12.55,0,3.31,44.14,5.52,0,0,0.81,2.24,1.72,5.14,2.1
 96-106,1.12,1.94,0,64.11,2.73,7.77,59.73,2.9,23.61,0,52.27,86.39,1.74,0,3.07,6.49,0.95,76.31,7.1,292.07,0.83,9.16,23.81,120.6,3.82,0.57,13.15,0,6.68,86.88,0,0.63,20.48,1.38,1.25,11.4,1.55,8
108-118,0,6.1,0.44,142.06,0.59,31.07,71.55,1.82,19.3,6.25,88.66,71.03,4.27,2.58,10.97,1.16,0,206.62,0,367.38,0.84,17.95,38.39,133.23,14.18,2.9,18.57,0,17.95,61.77,2.66,0,4.85,1.37,6.38,15.08,6.43,4.4
120,0,0,0,104.12,0,10.22,37.48,0,3.9,4.21,82.87,48.54,0,0,3.67,0,0,91.84,0,351.03,2.29,6.14,20.62,106.9,17.96,0,29.54,0,11.67,23.56,5.04,1.21,2.31,0,0,4.09,26.68,0
