stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,14.29,102.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,68.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.55,0,0,0,0,0,0,0
  7-9,0,0,3.47,0,0,0,0,0,0,0,0,0,0,20.3,0,0,0,3.28,6.68,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.85,0,0,0,0,0,0,0,10.94,0,0,0,7.99,3.07,0,15.35,0,0,0,0,0
 14-21,0,0,0.91,10.08,11.86,4.56,0,0.98,0.89,0,0,26.37,5,33.98,9.81,0,3.06,0,4.41,8.05,3154.84,12.09,9.35,0,0,0
 24-34,0,0,0,1.03,10.47,8.5,3,0,0,0,16.61,2.88,2.04,67.82,8.16,1.27,0,0,0.87,0,3068.4,1.53,10.72,0,4.35,3.57
 36-46,0,0,0,0,0,1.92,0,0,0,0,0.85,2.28,1.4,26.4,14.6,0,0,0,2.65,0,950.75,0,1.54,0,0,0
 48-58,0,0,0,0,0.4,0.5,2.49,0,0,0,0,0.65,0,15.85,0.4,0.41,0,0,0.39,0,112.42,0,6.83,0,0,0
 60-70,0,0,0,0,0.85,7.24,0.79,0,0,0,0,0,0,12.27,0.75,0,0,0,0,0,30.52,0,12.6,0,0,0
 72-82,0,0,0,0,0,6.35,2.12,0,0,0,0,0,0,10.55,0,0,0,0,0,0,2.31,0,0,0,2.52,0
 84-94,0,0,0,0,0,3.51,1.08,0,1.06,1.81,0,1.78,0,16.53,0,0,0,0,0,0,7.23,0,0,0.58,0,0
 96-106,0,0,0,0,0,13.66,0,0,0,0,0,0,0,4.81,0,1.92,0,0,0,0,3.32,0,0,0,0,0
108-118,0,0,0,0,0,17.57,0,0,0.51,0,4.07,2.57,0,12.16,0,0.96,6.87,0,0,0,0.48,0,0,0,0,0
120,0,0,0,0,0,10.43,0,0,0,0,1.31,0,0,6.44,0,0,0,0,0,0,1.21,0,0,0,0,0
