stage,blastomeres,epidermis,eye,fast_muscle,ionocyte,mesenchyme,muscle,neural,olfactory,periderm
  5-6,40.95,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.6,0,0,0,0,0
 48-58,0,0,3.35,1.75,0,0,0,1.04,6.09,0
 60-70,0,0,0,0,0,0,0,6.65,2.88,0
 72-82,0,0,0,0,0,1.02,0,0,17.26,0
 84-94,0,0,0,0,0,0,0,2.6,20,5.8
 96-106,0,1.32,12.08,0,0,0,0,0,47.33,2.17
108-118,0,0,0,0,0,0,2.35,0,51.26,0.5
120,0,0,0,0,0,0,0,0,10.75,6.82
