stage,axial,epidermis,eye,gut,heart,mesenchyme,neural,olfactory,paraxial.mesoderm,vasculature
  7-9,6.73,0,0,0,0,0,8.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.58,0
 14-21,0,0,0,0,0,0,0,1.55,0,0
 24-34,0,0,0.85,0,0.67,1.96,0,0,0,0
 36-46,0,3.44,0,0,0,0,1.29,0,0,0
 48-58,0,0,1.63,0,0,0.67,0,0.91,0,0
 60-70,0,1.8,0,0.98,0,0,0,1.68,0,0
 72-82,0,0,0,1.92,0,0,2.13,0,0,0
 84-94,0,0,1.27,4.36,1.92,2.59,0,0,0,0
 96-106,0,0,0,6.71,0,3.13,0,0,0,1.81
108-118,0,0,0,8.45,0,0,0,0,0,0
120,0,0,0,36.57,0,10.88,0,0,0,0
