stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,9.41,0,3.47,0,0,9.44,0,0,0
 24-34,1.29,0,0,0,0,0,0,0,0,0,138.46,0,7.6,0,0,37.14,0,0,0
 36-46,0,0,0,14.59,0,0,0,0,0,0,451.4,0,1.29,0,0,79.14,0,0,0
 48-58,0,3.21,0,68.37,0,12.82,0,0,0,0,714.13,0.56,1.68,0,2.13,72.66,0,0,0
 60-70,0,0,0,86.58,0,0.91,0,4.76,0,0,874.77,0,1.77,0,0,84.74,0,0,0
 72-82,0.57,0,0,81.31,0,2.93,0,0,3.81,0,718.11,0,1.09,0,1.53,35.43,0,0,6
 84-94,0.66,1.22,0.84,77.43,0,3.08,0.55,0,4.62,0.75,545.88,0,0,0,0,45.08,0,2.93,0
 96-106,0,9.08,0,73.75,0,3.67,0,0,0,0,389.74,0,0.84,0,0,34.22,0,0,0
108-118,0,1.38,0.69,64.24,1.58,2.84,0,0,1.63,0,448.47,0,1.91,0,0,1.73,1,0,0
120,0,4.44,0,78.22,0,3.14,0,0,14.13,0,573.53,0,1.26,0,13.64,27.46,0,0,0
