stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16,16.4,0,0,0,0,0
 24-34,0,1.46,0,3.48,15.19,0,0,2.29,0,1.64,0,0,0,0,0,0,0,0,0,13.03,29.2,5.46,1.36,0,0,12.47,92.76,43.76,3.13,0,4.27,0,0
 36-46,0,1.83,0,4.39,83.83,0,0,1.99,0,0.88,0,0,0,0,0,4.5,2.15,0,0,6.56,50.79,0,1.15,0,0,1.3,251.09,2.85,2.63,0,4.86,0,0
 48-58,0,2.02,0,25.65,59.49,0.39,0,3.79,0,0,0,0,0,0,0,1.34,5.58,0,0.46,17.45,70.44,0,1.16,2.05,0,0.45,169.89,0,17.49,0,2.34,0,3.38
 60-70,0,0,0,47.66,73.24,0,0,5.88,0,2.01,0,0,0.9,0,0,1.81,3.49,0,0,13.44,48.45,1.43,0,0,2.43,0,88.91,0,19.79,4.21,32.35,0,0
 72-82,0,1.87,0,19.89,54.48,0,0,4.41,0,0.97,0,0,1.1,0,0,0.49,3.22,0,0,10.91,47.95,0,0,0,0,3.15,49.09,0,10.73,1.49,40.64,0,0
 84-94,3.88,3.94,15.88,34.39,68.05,0,0.59,6.09,0,2.4,1.7,0,8.9,0,5.17,15.36,4.81,0,0,6.92,58.58,0.76,0,0,0,4.34,123.35,0,2.36,5,17.26,0,0
 96-106,0,11.62,13.77,88.51,106.56,1.24,0,35.63,0.74,5.95,1.7,0.67,7.8,0.92,7.04,1.23,27.07,0,5.99,4.6,74.87,0,0,0.77,0,14.3,84.02,0,2.21,1.76,24.66,0,4.47
108-118,0,1.83,2.11,25.94,106.86,1.67,3.07,27.55,0.6,4.02,2.41,0,7.92,1.23,1.49,5.48,14.1,2.55,0,21.32,55.82,0,0,0,0,8.24,91.31,0,0,0.88,17.07,0.66,5
120,0,4.22,0,18.54,58.69,0,0,12.55,0,1.15,0,0,2.22,0,13.46,0,15.46,0,0,21.78,31.75,0,0,0,0,0,14.78,0,0,0,44.86,0,0
