stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,28.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0
  5-6,0,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.82,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,4.18,3.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.17,4.59,0,0,0,61.13,0,0,0,0,0,0,2.18,0,0,1.68,30.47,16.73,0,0,3.06,0,0,0,426.21,0,59.55,0,0
 24-34,0,0,0,2.33,5.44,2.05,0.87,0,0,147.07,5.95,0,0,0,0.91,0,3.01,0,0,0,34.4,4.38,0,0,6.7,0,2.34,2,528.65,0,320.2,0,0
 36-46,0,0,0,0,0.62,0,2.24,0,0,140.94,0,0,0,0,0,0,2.42,0,0,0,36.66,5.9,1.65,0,15.33,0,0,0,531.48,0,178.5,0,0
 48-58,1.15,0,0,0,2.06,0,6.18,0.42,0,177.28,1.15,0,0.43,0,0,0,10.24,0,0,0.42,38.25,4.56,0.91,0,0.66,0,0,0,790.83,0,101.81,0,2.83
 60-70,0,0,0,0,0,0,19.42,0,0,124.47,3.15,0,0,0,0,0,32.72,0,0,1.55,18.92,0,0,0,5.88,0,0,0,366.78,0,127.11,0,0
 72-82,0,0,1.32,0,0.49,1.01,19.49,0,0,146.65,0.98,0,0,0,0,0,104.04,6.51,0,0,10.38,0,0,0,0,0,0,0,385.4,0.52,190.77,0,9.24
 84-94,0,0,0,0,2.08,0,14.66,0,0,192.14,0,0,1.69,0,0,0,148.19,0,0,0,7.34,0,0,0,0,0,0,0,349.18,0.69,122.47,0,0
 96-106,0,0,0,0,4.29,2,15.15,1.07,2.35,101.32,4.46,1.84,0,1.2,0,3.85,77.21,0,0,0.57,27.76,0,0,0,2.83,3.82,0.6,0,359.76,0,206.54,1.31,0
108-118,0,0,0,0,3.43,0,9.32,1.14,2.03,118.06,1.41,5.1,0,0,0.49,0,87.4,0,0,0,16.88,0,0,0,1.65,0,1.29,0,276.14,1.76,210.99,0,0
120,0,0,0,0,11.61,0,14.83,0,0,18.04,16.29,3.52,4.55,0,0,0,56.93,0,10.83,0,44.08,0,0,0,4.52,0,0,0,264.82,11.07,300.24,0,0
