stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,115.59,2477.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.12,0,0,0,0,0,0,0,0,0
  5-6,62.57,586.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.82,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.84,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,8.66,0,5.42,0,0,0,0,0,3.38,0,65.33,0,0,0,0,0
 24-34,0,0,0,0.59,2.7,0,0,1.23,0,0,0,0,0,0,0,0,0,3.06,0,1.17,5.89,0,0,0,329.75,0,12.16,0,0,0,0,0,0,0,241.56,0,0,2.9,0,0
 36-46,0,0,0,0,2.73,0,0,8.08,0,0,0,12.54,0.95,1.05,0,0,0,2.94,0,0,2.41,1.18,0,0,930.34,0,2.73,0,0,0,3.32,0.73,0,0,320.8,0,0,0.71,0,1.47
 48-58,0,0,0,0,7.78,2.18,0,87.06,0,2,0,54.11,0,0,0,0,0,3.48,0,0,12.94,0,0,2.2,1640.95,0,2.19,0.46,0,0,2.73,0,0,0.9,283.53,0,0,0,0,4.01
 60-70,0,0,0,0,1.54,0,0,286.73,0.7,0,3.72,84.94,0,0,0,0,2.89,3.8,0,2.47,62.44,1.27,0,0.67,3206.24,0,0,0,0,8.44,6.24,0,0,0,390.5,0,0.79,0.89,0.89,0
 72-82,0,0,0,0,22.74,2.57,0,485.19,1.57,0,1.56,73.05,3.95,0.51,0.98,0.63,0,7.87,0,0.49,91.42,0,0,6.7,3043.89,0,0.91,0.54,0,0,1.68,0,0,0,280.88,1.93,3.34,0,3.61,9.12
 84-94,0,0,1.99,0,17.65,0.87,0,372.08,0.56,0,0,66.13,5.22,0.7,1.03,0,0,1.47,0,2.28,72.33,0,6.03,5.55,1953.27,0,2.93,8.01,0,0,3.35,0,0,0,206.29,0,2.61,4.55,3.96,0
 96-106,0,0,0.99,0,5.32,8.48,0,357.18,0,2.07,2.5,56.52,0,1.22,2.39,0.81,0.77,5.79,13.8,0,41.75,0,4.2,1.91,1702.16,0.65,0,0,0,0,0.56,0,0,0,113.19,0,4.01,0.58,0,0
108-118,0,0,0,0,20.89,3.01,0,369.08,0,0,3.35,79.43,0,0.74,3.63,0.45,2.72,13,2.26,0,42.24,0,2.05,6.53,2067.02,0,5.67,1.6,0,0,0,0,0.84,0,57.52,0,0,2.97,1.44,0
120,0,0,0,4.83,43.59,1.26,14.01,364.35,0,0,0,102.2,6.14,0,14.99,0,0,0,5.29,0,82.18,13.46,9.54,0,3973.3,0,8.55,0,0,0,1.07,0,0,0,185.87,0,0,3.5,0,0
