stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.36,0,0,30.29,7.28,0,3.41,0,0,0,0,0,0,0.92,0,0,0,0,10.51,0,40.6,0,37.73,51.51,1022.2,0,0,0,0,11.37,0,4.53,28.06,47.07,0,0,7.33,0,0
 24-34,0,0,0,0,36.66,0.95,0,25.68,0,0,5,0.62,0,0,9.97,0,1.36,0,4.25,0,0,224.12,0.81,131.62,134.15,856.74,3.58,1.56,0.99,7.9,0.93,1.34,9.34,12.77,80.59,0,0,39.79,0,0.89
 36-46,0,0,0,0,7.98,0.76,0,11.27,11.9,1.48,14.36,1.83,0,0,7.08,0.98,0,0,1.65,1.21,0,447.16,3.09,105.95,117.97,517.17,0,0.71,0,0,1.39,0,26.1,0.83,31.67,0,0,63.11,0,4.66
 48-58,0,0,0,0,6.38,1.48,0,18.73,3.59,5.47,25.75,7.47,3.21,0,5.24,0,0,0.89,0.85,0.48,6.69,566.1,7.81,79.66,86.39,361.42,2.62,22.15,0.73,4.98,0,0,8.11,0,36.55,0,1.03,51.77,0,17.2
 60-70,0.64,0,0,0,11.81,0,0,45.57,1.09,6.99,32.22,18.31,0,0,1.4,5.52,0,3.21,0,5.47,0,1067.03,7.6,65.84,61.68,138.07,1.22,17.45,0,0,0,0,7.6,0,8.4,0,7.37,42.92,5.42,26.15
 72-82,0,0,0,0,6.02,0,0,46.56,0.63,6.87,41.74,16.47,1.1,0.5,4.35,3.32,0,1.95,0,0,0,1448.14,10.89,65.69,65.61,50.86,3.24,23.82,2.84,1.9,0,0,0.79,0,5.61,0,21.85,126.54,21.76,25.38
 84-94,0,0,0,0,7.37,0,0,93.56,0,0,32.35,12.05,0.68,0,1.67,6.86,0,5.81,0.66,0,1.78,1269.91,15.34,59.67,63.69,124.57,0,24.74,1.53,2.34,0,0,0,0,0,1.01,12.14,120.52,4.95,17.79
 96-106,1.12,0,0,0,2.68,0.67,0,74.74,0,3.6,41.29,17.51,0,0,4.11,2.15,3.54,2.87,3.56,0,0,959.99,12.08,32.36,66.4,62.44,4.83,21.47,0,0.73,0,0.9,1.62,0,1.03,1.68,8.84,163.68,30.36,7.15
108-118,0,0,0.41,0.49,3.37,2.43,5.25,84.18,1.47,0.46,28.39,15.68,0,0,2.84,6.26,0.85,21.21,0.98,0,0.54,893.28,17.02,40.35,65.7,68.37,2.87,24.79,13.92,1.06,0,1.25,0.94,0,2.61,0,8.86,142.32,13.48,1.77
120,0,0,2.94,0,5.71,1.91,0,72.97,0,2.55,24.2,19.16,12.72,0,5.81,6.39,0,8.48,0,0,0,586.14,25.15,61.31,56.41,67.58,8.07,8.72,10.01,0,0,0,0,0,0,0,2.41,175.46,18.92,0
