stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.55,0,0,10.72,0,4.85,0,0,0,0,0,0,0
 10-12,0,11.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,12.18,0,15.38,0,0,7.73,0,0,0,0,0,0
 14-21,0,0,6.32,0.9,0,0,0,0,0,0,0,0,0,0,1.02,0,1.06,6.53,0,0,0,0,0.9,0,25.4,26.74,0,0,0,0.84
 24-34,0,0,2,0.62,2,0,0,0,1.75,0,0,0,3.11,0,1.83,0,0.64,12.23,0,0,0,2.12,0,1.38,1.76,0.73,7.66,14.61,0,0
 36-46,0,0,1.53,0,5.46,0,0,0,0,0,0.58,0.56,0,0,8.42,0,1.07,47.83,0,0.61,0,0,0,0,0.58,0,7.19,0,0,0
 48-58,0,0,0.78,0,2.41,0,0,0,0.77,0,0,0,0,0,0.49,0,7.4,27.14,0,0,0,5.18,0,0,0,0,2.71,0.47,0,0
 60-70,0,0,0,0,27.88,0,2.25,0,0,1.41,0,0,3.58,0,6.08,0,0.6,39.42,0,1.03,0,7.01,0,0,0,0,2.91,0,0,0
 72-82,0,0,0,1.13,17.55,0,1.9,0,0,20.18,2.11,0,0,0,2.63,0,0,24.24,0,0,0,3.13,0,0,0,0,0,0.77,1.12,0
 84-94,0,0,3.12,0,14.22,0,0,0,0,21.86,0,0,0,0,0.79,0,0,5.27,0,0,0,15.09,0,0,0,0,0,2.14,0,0
 96-106,0,0,1.93,0,19.07,0,4.74,0.81,0,46.38,0,0,0,0,7.9,2.07,0,18.16,0.57,0,0,2.55,0,0,0,0,0,9.19,0,0
108-118,0,0,1.7,0,15.18,1.52,3.55,0.52,1.49,39.3,1.62,0,0,0.44,1.06,0,0,18.43,0,0,0,0.56,0,0,0,0,0,7.58,0,0
120,0,0,4.45,2.43,66.03,3.1,7.19,1.04,0,57.22,0,0,0,0,8.77,0,2.53,16.16,0,5.22,0,0,0,0,0,0,0,14.61,0,0
