stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,125.61,3378.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.42,0,0,0,0,0,0,0,0,0,0
  5-6,24.36,830.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.88,0,0,0,0,0,24.55,0,0,0,0,0,0,0,0,0,0
  7-9,17.71,0,0,68.86,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.03,11.15,0,0,3.38,0,7,11.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,32.95,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.07,25.33,0,0,3.98,0,5.16,0,18.52,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.51,39.44,120.06,0,6.33,0,0,0,0,16.05,0.99,29.33,0,15.33,0,0.93,0,9.07,2.73,0,1.26,28.75,5.75,1.55,13.9,0,0,42.6,0.91,9.95,4.89,11.66,6.98,0,0,58.94,0,0
 24-34,0,0,0,5.55,9.19,7.96,0,3.47,0,0.66,0,0,8.34,0,56.45,1.4,6.45,0,4.47,1.55,6.65,8.65,3.04,2.37,102.85,1.37,1.98,9.67,0,0.99,73.77,0,20.94,0,1.39,4.12,0,0,201.02,0,0
 36-46,0,0,0,1.4,15,0,0,6.37,0,0.83,0,0.98,6.98,0,25.52,2.02,4.06,0,1.95,6.67,13.29,11.15,2.15,2.76,195.19,0,8.62,4.66,0,0,113.18,0.78,7.1,0,0,0.64,0,0,205.44,0,0
 48-58,0,0,0,3.8,8.68,0.43,0,13.27,0,0,0,3.17,8.58,0.61,89.04,0.52,1.28,0,2.24,7.04,13.05,12.23,5.85,1.52,137.81,0,6.09,3.95,0,9.29,52.27,0,2.59,0,0,2.4,0,0.74,192.4,0,3.9
 60-70,0,0,0.82,0,9.53,0,0,84.25,0,0,0,3.94,38.49,0,43.23,0,0,0,1.37,7.41,59.29,15.16,3.41,2.53,117.75,0.65,7.77,2.81,0,7.02,35.77,0,3.85,0,0,3.02,1.37,3.33,145.77,0,0
 72-82,0,0,14.88,3.31,4.83,2.98,0,161.05,0,1.95,1.48,18.1,74.52,4.13,83.43,4.81,5.13,0.72,5.33,6.12,56.81,14.91,41.35,11.43,154.15,0,9.05,9.99,0,14.47,28.91,0,5.48,0,0,6.35,5.12,3.18,363.45,5.33,0
 84-94,0,0,7.37,5.13,18.34,0.57,0,222.8,0,0.64,0.77,12.08,174.22,1.75,58.04,1.32,12.51,0,1.83,11.36,108.7,25.44,36.54,4.78,188.01,0,5.43,14.48,0,6.7,101.35,0,15.73,0,0,2.57,13.59,6.25,313.22,1.66,0
 96-106,0,0,8.77,5.96,34.31,16.55,1.89,330.23,0,6.82,0,34.08,206.55,0,143.02,7.12,4.88,0,5.87,18.86,124.12,32.42,60.28,10.65,179,0,11.98,9.97,0,20.5,111.58,2.06,10.1,0,0,0,13.03,10.27,402.96,1.55,0
108-118,0.67,0,12.88,13.59,18.43,4.48,13.48,480.68,0,0.91,3.67,41.77,193.81,0,70.53,4.46,5.73,0,7.67,20.35,121.63,14.15,71.87,0.43,179.65,2.7,3.72,9.44,0,23.73,66.63,0,7.34,0,0,0,23.48,3.67,416.56,0,0
120,0,0,1.37,1.66,57.63,2.37,5.07,213.93,4.73,3.56,2.8,9.05,91.08,0,130.35,15.89,5.33,0,1.77,22.2,86.75,5.36,172.44,15.69,174.91,5.95,13.62,35.19,0,30.47,72.36,0,19.28,0,0,0,5.63,12.16,443.75,0,0
