stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm
  3-4,13.01,94.45,0,0,0,0,0,0
  5-6,0,31.92,0,0,0,0,0,0
  7-9,0,0,3.84,6.35,0,65.96,5.42,3.52
 10-12,0,0,6.03,0,4.67,82.2,0,49.38
