stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,28.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.59,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.67,0,0,0,16.82,0,0,0,0,0,0,36.46,3.62,0,0,11.07,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,35.53,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11.24,1.53,0,2.24,0,0.91,0,0,0,2.19,3.59,0,0,0,0,1.92,1.52,0,1.83,3.64,0,0
 24-34,0,0.69,0,0,0.94,0,0,0,0,0,1.07,5.15,0,0,0,0,0.6,0,1.45,1.27,3.3,0,0
 36-46,0,0,0,0,1.46,0,0,1.58,0,0,0,11.77,0,0,0,0,0,0,0.65,0,2,1.05,0
 48-58,0,0,0,0,1.9,0,0.47,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0.5,0,0
 60-70,0,0,0,0,5.41,0,0,0,0,0,0,17.61,0,0,0,0,0,0,0,0,0,0,1.39
 72-82,0,0,0,0,7.49,0.49,3.62,0,0,2.25,0,15.34,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.44,0,0,6.1,0,1.87,0,2.89,1.84,3.55,5.87,0,2.97,0,0,0,0,0,0,0,0,0
 96-106,0,0,7.44,0,0.75,0,0,2.9,0.95,0,0,13.84,0,0,0,0,0,0,0,0,1.91,0,0
108-118,0,2.95,0,1.38,14.07,0,2.91,0.46,0,0,0,4.1,0,0,0.76,0,2.38,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,10.37,3.16,7.38,0,0,0,0,0,0,0,0,0,0,0
