stage,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,11.6,0,0,0,0,0,0,6.41,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.83,0,0,3.29,0,0,0,0,0,5.62,1.61,16.95,0
 24-34,0,0,0,7.77,0,0,5.93,0.66,6.99,0,1.91,0,6.33,0.64,12.43,0
 36-46,0,0,0,1.82,0,0,3.52,2.04,1.36,0,5.52,0,0.86,0,6.83,0
 48-58,0,0,1.98,5.81,0,1.11,2.79,1,2.39,0,0,0,0.61,0,16.46,0
 60-70,0,0,0,14.44,0,0,3.79,2.99,4.1,0,4.35,0,2.06,0,6.44,0
 72-82,0,0,0,6.38,2.91,0,0,1.67,6.88,0,3.87,0,0,0,9.81,0
 84-94,0,0,0.71,10.59,0,0,1.81,3.06,2.19,0,17.85,1.4,1.33,0,3.03,0
 96-106,0,0.99,0,11.32,0,0,2.52,3.3,12.41,0,11.39,0,0,0,6.34,0
108-118,0.86,0,4.68,6.78,2.24,0,0,0.89,6.64,0,8.07,0,1.23,0,5.37,2.43
120,0,0,0,3.91,0,0,8.5,1.32,17.12,0,6.2,0,0,0,0,0
