stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mural.cell,neural,notochord,olfactory,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,22.86,0,0,0,0,0,0
 10-12,0,0,0,3.65,0,0,0,0,0,0,0,0,25.42,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,10.22,0,0,2.09,0,0,0,0,0,0
 24-34,0.97,0,0,0,0,0,0,0,0,1.28,0.67,0,0.85,0,0,0,0,0.98,0
 36-46,0,0,0,0,0,0,0.76,0,0,0,0,0,2.08,0,0,0,0.59,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.5,0,0,0,4.82,0,2.93,1.09,0,0,0,16.14,0
 72-82,0,0,0,0,0,0,13,0,0,0.65,17.54,0,2.74,0,0,0,0,18.64,0.71
 84-94,0,0.68,0,10.45,1.13,0,10.65,0,0,0,8.88,0,0.85,0.94,0,0.58,0,13.33,0
 96-106,0,0,5.59,0,0,0,25.59,0,0,0,18.83,1.84,0,0,0.75,0,0,17.9,0
108-118,0,0,0,7.8,0,1.87,6.8,0,0.48,0,11.82,0,6.61,0,0,0,3.44,18.16,1.48
120,0,0,0,0,0,0,17.33,4.91,0,0,9.17,0,8.73,0,0,0,0,0,0
