stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.97,0,6.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0.86,0,2.71,0,0,0,0.86,0,0,0,3.64,0,5.4,30.28,1.01,0,0,0,0.91,7.81,2.18,4.97,0,0,0,0
 24-34,0,0,0,0,3.31,0,0.85,0,0,0,0,0,7.49,0,2.89,41.15,0.62,0,0,0,0,0,1.31,5.66,0,0,0,0
 36-46,0,0.98,0,0,4.67,0,1.51,0,0,0,0,0.66,10.01,0,2.14,39.55,0,0,0,0,0,0,0,4.54,0,0,0,0
 48-58,0,0,0,0,7.44,0,5.82,0,0,0,0,0,6.86,0,1.35,44.38,0,0,0,0,0,0,0,6.14,0,0,0,0
 60-70,0,2.99,0,0,28.08,0,0,0,0,0,0,9.57,11.3,0,1.2,21.02,0,0,0,1.13,0,0,0,3.76,0,0,0,0
 72-82,0,0.49,0,0,22.47,0,4.16,0,0,0,0,0,5.25,0.93,0.83,14.55,0,0,3.28,0,0,0,0,5.13,0,4.01,0.56,0
 84-94,0,0,0,0,23.23,0,5.9,0,0,0,0,0,0,0,0,10.01,0,0,0,0,0,0,0,1.3,0,0.57,0,0
 96-106,0,0.63,9.04,0,16.21,0,4.07,0.63,0,0.61,0,0,3.35,0,3.26,16.55,0,0,0,1.29,0,0,0,0,0,3.46,0,0
108-118,0,0,0.58,1.74,18.65,0.43,8.05,0,0,1.81,0.45,0,5.66,0,0,27.57,0,0,0,0,0,0,0,0.96,1.93,1.42,0,0.91
120,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,0,0,0,0,0,0,0,0,0,0,0,0
