stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.02,1.02,1.06,0,0,0,0.88,0,2.29,0,0,0,0,0,0,4.5,0,0,1.27,42.8,38.72,0.81,0,0,1,26.78,0,0,1.09,0,0
 24-34,0,0,1.04,0,0,0,0,0,0.74,0,0,0,0,0,0,58.88,0,0,4.32,65.78,31.03,6.66,0,0,2.86,24.86,0,0,8.49,0,0
 36-46,1.3,0,0.76,0,0,0,3.11,0,0.76,0,0,0,0,0,0,86.41,0,0,1.5,52.45,66.59,7.65,0,2.7,0,12.21,0,0,0,0,0
 48-58,0,0,25.2,0,0,1.25,2.77,0,0,0,0,0,0,0,0,196.67,0,1.38,4.73,55.27,85.99,14.37,0,3.17,0,8.67,0,0.92,5.24,0,1.16
 60-70,4.1,0,18.32,0,0,3.14,2.3,0,0,0.76,0,1.4,0,0,5.95,333.92,0,0.63,10.79,24.8,45.65,19.06,0,0,0,0,0,1.88,0,5.22,0
 72-82,1.78,0.73,22.12,0,0,9.62,4.95,0,0,0,0,0,3.32,0,0,471.34,0,3.57,27,38.27,33.93,20.2,2.75,5.18,0,0,0,2.18,5.88,10.67,0
 84-94,1.83,0,50.18,0,0,5.19,1.13,0,0,0,0,1.56,0,1.11,0,333.76,0,1.57,10.91,6.7,31.84,36,0,0,0,0,0,5.22,1.33,16.95,0
 96-106,0,0,29.66,1.7,0,9.03,4.11,1.61,0,0,0.66,0,0,0,0.6,262.11,0.7,0,10.37,22.67,16.78,13.86,1.32,1.95,0,0,0,4.09,3.66,8.56,0
108-118,1.09,1.34,14.33,0,1.68,8.31,3.56,0,0,0,1.04,0,0,0,0,262.09,0,0,5.05,24.62,17.77,17.85,2.06,1.35,0,2.22,1.67,0,4.98,9.58,0
120,2.67,2.91,9.55,0,0,0,0,0,0,0,0,0,0,0,0,318.11,3.01,0,1.58,36.48,19.36,16.04,5.29,0,0,0,0,8.16,0,5.89,0
