stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.37,35.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.54,23.67,0,0,0,0,0,17.11,0,0,0,0,0,0,0
 14-21,0,0,1.02,159.61,0.88,0,0,0,15.53,0,0,0,0,0,0,0,0,6.21,0,12.23,17.73,2.36,0,0,0,0,0.84,0,0,52.64,0,0,48,0,0
 24-34,0,0,0.59,17.73,0,0,0,0.74,27.1,0,1.33,0.73,0.81,0,0,0,0,24.08,0,40.93,52.07,1.34,0,0,0,0,0,1.24,0.68,45.32,0,0,97.6,0,0
 36-46,0,0,0,0,7.44,0,0,0.58,12.49,0,0,0,0,0,0,0,3.95,39.52,0,26.39,56.68,0.57,0,0,0,0,0,0,0,26.26,0,0,21.67,0,0
 48-58,0,0,0,0,7.24,0,0,6.63,60.26,0,0,0,0,0,0,0,0,38.54,0.99,21.13,74.42,0,0,0,0,0,0,1.02,0,67.46,0,0.84,7.09,0,0
 60-70,0,0,0.79,0,5.22,0,0,2.91,382.94,0,3.2,0,1.02,0,0,0,0,111,22.4,22.73,128.87,5.45,0,0,0,0.81,0,0,0,92.15,0,1.51,7.56,0.94,0
 72-82,0,0,4.11,0,33.86,0,7.02,10.88,1036.87,0,0.5,0.63,0,0,0,0.78,0,204.51,59.97,41.77,106.39,0,1.41,0,1.98,5.11,0,0,0,107.75,0.87,6.63,23.26,11.31,8.17
 84-94,0,0,3.09,6.78,28.2,0,0,7.79,668.24,0,3.71,0,0,0,1.35,1.81,0,151.72,83.86,24.06,55.87,0,1.84,1.22,0.57,0,0,2.74,0,74.66,0,5.96,16.71,9.5,0
 96-106,0,0,7.1,1.54,52.2,0.87,0,7.7,834.54,0.74,4.5,0,0,6.49,0,0,0,129.79,52.84,12.52,53.21,0.7,0,1.36,6.6,1.73,0,0,0,84.01,0,4.77,9.22,12.49,0
108-118,0,0,1.93,7.47,26.34,0,2.59,16.47,905.34,0,0,0.46,0,0,0,0,0,154.83,109.78,12.57,91.22,3.29,1.82,0,7.62,2.46,0,4.07,0,38.93,0,3.41,17.91,7.62,0
120,0,0,2.44,24.28,30.78,0,0,7.56,1004.16,0,0,1.18,0,0,0,0,0,168.49,151.73,11.4,101.82,0,0,0,9.24,0,0,0,0,28.77,0,21.5,22.76,8.34,0
