stage,blastomeres,eye,fin.epithelia,glial,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,xanthophores
  5-6,7.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.88,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.91,0.84,0
 24-34,0,0,0,0,0,0.77,0,1.29,0,0,0,0.62,0
 36-46,0,0,0,0,0,0.78,0,0,0,0,0,0,0
 48-58,0,0,0.39,0,0,0.53,0,0.48,0,2.18,0,0,0
 60-70,0,0,0.64,0,1.35,0,0,0,0,0,0,0,0
 72-82,0,6.37,0,0,0,0,0,4.26,0,0.6,0,0,0
 84-94,0,0,0,0,0,0,0.6,0,0,0,0,0,0
 96-106,0,0,0,0,0,6.43,0,0,0,0,0,0,0
108-118,0,0,0.42,0,0,0,0,0,0,0,0,0,0.95
120,0,0,0,1.21,0,0,0,0,0,0,0,0,0
