stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.58,0,0,22.55,0,0,0,0,0,0,0
 10-12,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58,0,0,8.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,1.52,0,0,1.54,1.55,0,0,0,0,2.16,0,0,0,0
 24-34,0.61,0,1.28,0,0,0,0,0.71,0,0.78,0,0,0,0,0,0,0,0,61.52,80.5,0,0,0,0,37.93,0,0,0,0
 36-46,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,2.34,0,0.64,123.4,203.11,0,0,0,0,115.64,0,0,0,0
 48-58,0,0,6.79,0,0,14,0,0,0,0,0,0,0,0,0,1.27,0,2.34,201.18,119.78,0,0,0,0,92.25,0,0,0,0
 60-70,0,0,0.9,0,0,123.88,0,0,1.03,4.93,0,0,0,0,0,8.95,0,3.18,249.37,151.05,0,0,0,0,57.59,0,0,0,4.24
 72-82,0.71,0,2.18,0,0,504.96,0,0,2.97,11.61,0,0.52,0,2.9,0,10.2,0.7,0,483.84,195.15,0,0,0,0,44.43,1.16,0,0,0
 84-94,0,0,5.61,0,0,507.33,0,0,2.45,19.64,0,0,0,0,0,13.63,0,0,343.65,196.44,0,0,9.27,0,39.23,0,0,0,0
 96-106,0,0,5.25,1.27,1.05,696.94,3.09,0,1.99,20.04,0.71,1.69,1.78,0,0,6.45,0,0,303.52,242.98,0.98,0,0,0,31.96,0.57,0,0,0
108-118,1.41,0,15.67,0,0,519.92,0,0,4.19,15.69,0,4.01,0,0,1.34,26.85,0,0,421.24,150.52,0,0,1.39,0,16.34,0.67,0,0.49,0
120,0,0,3.65,0,0,437.07,0,0,0,11.55,0,5.69,0,19.69,0,30.84,0,0,906.55,145.73,0,0,0,4.78,49.52,0,2.66,0,0
