stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.03,3.47,2.52,0,9.53,0,0,0,0,0,1.19,0,0,0,0,0,0,0,8.11,0,0,6.26,105.74,4.49,0,0.86,1.7,0,3.16,4.04,1.83,0,12.8,26.04,0,0,0,0,0
 24-34,0,0,5.02,0,0,12.74,0,0.7,0,10.28,1.02,0,0,0.68,5.02,0,0,0,0.78,21.05,1.77,0,8.84,288.62,2.48,5.09,0.67,0,0,14.99,0,1.13,0.61,2.41,78.22,0,0,13.21,0,9.78
 36-46,0.95,0,1.24,0,0,21.01,8.3,0,2.7,25.6,0,0,0.71,0,18.74,0,0.87,0,0,19.75,0,0,10.95,192.43,0,1.42,1.52,0,0,24.02,2.07,1.77,0,0,74.75,0,0,7.4,0,2.61
 48-58,0,0,22.68,0,0,61.85,0.39,4.32,4.15,41.94,0,0,0,0.5,0.38,0,0.41,0,1.63,46.05,0,1.22,14.53,156.08,0,2.8,4.26,0,0,18.27,0,0,3.52,0,75.1,0,0,0.61,0,9.04
 60-70,0,0,14.99,0,0,71.14,0.67,1.77,1.36,63.97,1.26,0,0,0,3.84,0.81,0,0,1.64,79.07,1.75,1.09,6.62,65.83,0.7,1.43,8.04,0,0,31.6,0,0,4.27,0,25.58,0,4.5,9.07,0,1.56
 72-82,2.43,0,16.83,0.57,0,92.86,0,1.22,2.86,65.41,1.39,0,1.5,3.25,15.86,0,0,1.55,0,101.15,1.83,0.77,6.92,114.12,0.56,3.6,4.99,0,0.71,36.97,0,1.81,2.68,0,18.35,0.82,1.13,6.85,2.24,7.18
 84-94,0,0,15.75,0,1.17,68.78,0,0,8.32,44.27,1.44,0,1.92,3.3,27.79,2.86,2.41,11.06,1.82,105.21,0.71,6.11,5.45,86.44,1.74,10.33,6.68,0,0,124.19,0,0.6,0,0,30.1,1.01,4.15,20.8,4.82,1.29
 96-106,0.9,0,20,10.51,0,75.62,4.05,1,5.14,85.46,10.8,0,3.41,10.85,22.96,3.88,3.17,13.57,0.67,123.27,0.77,9.3,10.21,81.27,0,9.8,30.24,0,5.02,75.81,0,1.73,0.72,0,6.72,0,7.81,19.2,3.01,0.69
108-118,0.71,0,33.49,11.09,2.22,88.97,0.65,2.76,1.62,67.38,3.58,0,0,14.51,21.64,6.37,1.26,14.13,1.93,120.6,1.07,4.76,2.36,113.46,2.26,6.05,19.46,0,8.65,92.49,0,2.52,1.92,0,7.2,3.03,1.39,8.85,0,12.9
120,0,0,23.78,3.23,1.8,46.3,0,6.74,5.31,48.32,9.6,0,2.11,31.55,16.48,0,2.11,4.69,1.55,148.75,0,22.36,11.88,108.63,1.03,3.86,13.66,0,0,56.33,0,5.03,2.84,0,4.09,0,0,7.37,2.94,9.75
