stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,mural.cell,neural,notochord,periderm,vasculature
  3-4,17.84,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.53,5.05,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
 36-46,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.68,0,0,0,0,0,0,0,0,1.05
 72-82,0,0,0,0,0,0,0.6,0,0,0,0,0,2.45,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0
 96-106,0,0,0,0,0,0,0,0,0.82,1.01,0,0,12.3,0.61
108-118,0,0,0,0.44,1.32,1.42,0,0,0,0,2.81,0,11.29,0
120,0,6.52,8.66,0,0,0,3.62,2.26,0,0,0,0,5.87,0
