stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.29,47.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.02,0,0,0,0,0,63.8,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,73.09,6.98,0,0,13.15,0,6.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.95,0,0,143.6,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,548.79,0,0,0,17.88,0,0,0,12.3,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,10.5,3.28,34.2,0,0,0,76.54,0,0,0,1.35,0,0,0,2.09,0,2.6,0,0,0.87,1310.7,3.36,3.76,0,0,0,0,0.92,0.84,0,4.15,477.27,0,0,0,0,0
 24-34,0,0,3.21,0.68,5.85,0,76.34,0,0,0,102.18,0,0,0,5.44,0,9.21,0,4.75,8.46,13.42,0,0,2.32,2835.21,24.06,19.59,1.32,0,1.58,0,0,1.61,1.95,0,677.59,0,0,9.74,0,2.32
 36-46,0,0,1.59,0,0,0,286.7,0,0,0,136.57,0,0,0.57,16.12,0,0,0,0,12,9.79,0,0.92,8.04,2930.69,37.09,20.88,1.5,0,3.59,0,0,0,0,0,656.57,0,0,0.56,0,6.61
 48-58,0,0,0,0,9.94,1.62,950.27,2.55,2.85,0,236.4,0,0,0,35.45,0,0.38,0,0,14.06,11.68,0,0,4.72,2164.73,15.72,7.95,2.19,0,1.56,0,0,2.22,0,0,483.36,0,0.42,2.18,0,14.7
 60-70,0,0,0,0,5.7,0.67,1754.25,0,0.61,0,148.98,0,0,0.59,44.2,0,0,0,3.79,19.22,8.28,0,5.67,1.95,1731.31,14.01,12.89,0.89,0,1.95,0,0,4,0,0,227.67,0,2.02,6.27,2.13,0.69
 72-82,0,0,0,0,13.45,6.61,1285.77,0,0,0,115.57,2.1,1.02,0,36.05,0,2.99,0,0,2.66,29.13,0,2.83,0.71,1307.88,5.71,2.32,7.03,0,0.52,0,0,1.76,0,0,71.7,5.03,0.51,12.75,3.2,13.58
 84-94,0,0,2.22,0,10.21,0,938.44,0,0.71,2.61,88.18,4.85,0,0,103.47,0,2.1,0.65,0,8.53,9.6,0,15.43,1.86,869.89,7.53,11.62,5.84,0,2.12,0,0,0,0,0,44.54,5.06,4.28,14.74,20.43,11.67
 96-106,0,0,0,0,17.02,5.75,655.96,0,1.35,0,72.62,5.07,0,0.58,110.89,1.54,0,4.01,0,1.26,12.45,2.08,5.05,0,650.53,7.47,10.05,4.38,0,2,0,0,0.6,0,0,24.44,1.21,0,19.07,22.37,1.82
108-118,0,0,4.83,0,14.86,5.28,710.97,0,0,0.65,55.65,3.34,0,0,104.98,0,0,0.91,0.99,0.58,20.93,4.37,0,0.48,909.35,3.22,8.32,2.53,0,1.85,0,0,3.9,0,0,17.09,3.47,2.92,28.38,9.38,9.11
120,0,0,8.41,0,12.02,1.95,565.22,0,0,8.73,83.03,2.75,0,0,156.73,0,8.35,0,0,1.51,32.43,0,1.45,0,937.83,9.47,30.03,10.18,0,1.05,0,0,4.17,0,0,22.54,1.27,0,25.4,3.15,0
