stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,25.94,28.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,0,0,0
  5-6,0,54.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7,0,0,23.85,0,0,0,0,0,0,0,0
 10-12,0,0,3.27,0,5.7,0,0,0,0,0,0,0,0,0,0,0,24.68,5.93,0,41.28,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.9,0,0,0,0,0,0,0,1.01,0,0,0,29.71,1.54,0,0,0,0.81,3.92,6.44,358.86,0,0,0
 24-34,0,0,0,4.59,1.04,0,0,0,0,0,0,0,3.49,0,0,0.86,260.43,0,0,0,0,52.4,0,0,357.38,0,0,0
 36-46,0,0,0,0,0.64,16.73,0,0,0,0,0,0,0.83,0,0,0.75,119.78,0,0,0,0,82.86,0,0,37.92,0,1.74,0
 48-58,0,0,0,0.57,24.01,0,5.22,0,0,1.82,0,0,1.74,0,0,1.93,292.01,0,0,0,0,74.82,0,0,1.59,0,5.37,7.56
 60-70,0,0,0,0,25.99,4.57,14.37,0,0,0,0,0,7.73,0,0,0,449.84,0,0,0,0,0,0,0,6.47,0,0,10.2
 72-82,0,0,0,1.07,73.06,0,6.07,0,3.51,0,0.75,1.4,16.12,0,1.84,0,699.97,0,0.97,0,0,0,0,0,8.66,0,0.54,18.33
 84-94,0,0,0,0,245.88,0,0.82,0,0,0,0,0,3.31,0,0,0,358.7,0,0,0,0,1.26,0,0,1.32,1.41,0,9.24
 96-106,0,0,0,3.51,114.61,0,9.06,0,0.64,0,0,0,0,0,1.25,0,644.81,0,0,0,1.37,1.31,0,0,1.99,0,0,2.85
108-118,0,0,0,0,351.84,4.91,6.51,0,0.64,0,0,0,5.46,0,0,0,297.81,0,0,0,0,0.75,0,0,7.2,0,0,5.01
120,0,0,0,2.91,430.1,4,28.68,4.89,0,0,0,0,15.57,1.49,0,0,1433.11,0,0,0,0,1.9,0,0,21.57,0,4.7,0
