stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,80.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,122.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,0,11.78,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91,4.54,0,0,9.37,0,0,12.94,0,0,0
 14-21,0,12.53,11.18,0,0,0,0,0,2.3,0,0,0,0,4.99,5.85,35.69,0,0,0,0,1.31,3.71,1.06,7,14.4,0
 24-34,0,0.6,1.03,0,3.49,0,0,0,1.64,0.67,2.54,0,0.64,6.82,2.41,51.03,0,2.8,0,0,2.09,0,0,0.59,15.66,0
 36-46,0,0,0,0,11,0,0,0,0.73,0,0,0,0,7.99,1.31,42.05,0,0,0.71,0,0.9,0,0,0,11.3,0
 48-58,0,1.97,0,0,16.84,0,0,0,5.28,0.56,3.14,0,0,7.83,0.87,60.81,0,0.64,0.48,0,0,0,0.65,0,8.03,0.5
 60-70,0,0.78,0,0,19.84,0,0,0,1.75,0,0,0,0,10.95,7.11,42.33,0,0,0,0,2.36,0,0,0,3.57,0
 72-82,0,3.36,0,0,25.1,0,0,0.83,2.03,0,0,0,0,10.93,0,24.72,0,0,0,0,0,0,0,0,0,0
 84-94,0,0.83,0,0,7.83,1.3,0.59,1.14,4.29,0,1.22,0,0,8.86,0.77,31.75,0,0,3.38,0,1.59,0,0,0,0,0
 96-106,0,0.81,0,0,18.38,0,0,0,2.87,0,0,1.64,0,4.05,0,13.92,0,0,0,0,0.64,0,0,0,0,0
108-118,0,0,0.66,0.75,17.24,0,0,0.6,0,0,0,1.3,0,1.4,0,18.62,0,0,0,0,1.57,0,0,0,0,0
120,0,0,0,0,4.12,0,0,0,0,0,0,0,2.19,0,0,9.82,0,0,1.59,0,0,0,0,0,5.94,0
