stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,56.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.57,0,0,0,8.54,0,0,0,0,0,0,0,3.33,0,0,0,0,3.31,0,0,0,0
 10-12,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71,8.92,0,0,13.7,0,0,0,0,0
 14-21,0,0.81,0.83,0.89,0,0,0.85,0,0,0,0,0,2.04,0,0,8.07,0,0,0,0,0,12.19,0,0,0
 24-34,0,0.93,0,0.81,0,0,0,0,0,0,0,0,1.91,0,0.72,40.23,4.44,2.48,1.77,0,1.83,9.51,0,0,0
 36-46,0,0,0,1.66,7.36,3.7,0,0,0,0,0,0,17.22,0,0.79,54.48,1.54,0,1.66,0,0,15.68,0,0,0
 48-58,0,0,0,10.12,0,1.58,0,0,0.55,0,0,2.49,3.39,0,1.96,59.34,3.15,0,4.57,0,0,9.96,0.42,0,0
 60-70,0,4.54,0,19.72,0,0,0,0,0,0,0,0,3.24,0,0,73.89,0.82,0,0,0,1.26,25.32,0,0,0
 72-82,0,1.15,0,40.8,0,0,0,0,0,0,2.03,0,6.49,0,0,61.64,0,0,0,0,0,5.11,0,0,0
 84-94,0,0.6,0,62.65,0,19.46,1.01,0,1.22,0,0,0,7.56,1.17,0,55.9,1.52,0,1.73,0,0,0,0.68,0,0.74
 96-106,0,0,0,23.76,0,4.55,0.97,0,0,0,0,0,2.45,0,0,24.09,0.62,0,1.74,0,0.71,5.14,0,0,0
108-118,0,0,0,14.92,0,2.79,0,0,0,0,0,0,2.96,0,0,32.39,0,0,1.18,0,0,1.82,0,1.71,0
120,0,0,0,0,0,0,0,0,0,1.65,0,0,5.01,0,0,85.92,0,0,0,0,0,4.72,0,0,0
