stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.04,7.47,2.84,1.75,0,0,2.64,0,1.15,0,0,0,0,0,0,0.85,0,0,3.76,52.14,0,1.08,0,0,1.06,1.13,0,1.96,17.7,0,0,1.09,0,0
 24-34,0,0,0,2.4,0,0.74,2.33,0,0,0,0,0,0,0,0,11.26,0,0,0,70.05,0.61,0,0.61,0,0.67,0,0,0,19.45,0,0,0,0,0
 36-46,0,0,0,9.19,0,0,0,0,0,0,13.14,0,0,0,0,6.75,0,0,1.23,150.98,0,0,1.13,0,2.54,0,0,0,21.06,0,0,0.76,0,0
 48-58,0,0,0,21.94,0,0,5.93,0,0.77,0,0,0,0,0,0.7,7.35,0,0,0.42,111.57,0,1.12,0,0,0.4,0,0,0,15.37,0,0,0.64,0,0
 60-70,0,0,0,60.11,0.68,3.35,8.59,0,0,3.44,0,0,0,0,0,3.93,0,0,0,50.04,0,0,6.69,0,6.93,0,0,0,7.02,0,0,0.96,0,0
 72-82,0,0,0,32.36,0,0,4.35,0.72,0,0,0,4.27,0,0,0,5.66,0,0,0,75.75,0,0.74,1.48,0,1,0,0,0,3.4,0,1.34,1.56,0,0
 84-94,0,0,1.1,16.46,0,0,0,0,0,0.91,0.68,0,0,0,0,4.79,0,0,0,26.57,0,0,0.72,0,0.61,0,2.4,0,0,1.01,0,8.15,0.81,0
 96-106,0,0,4.93,3.91,0,0,1.21,0,0,2.88,0,0,0,0,0,0.64,0,1.32,0,40.02,0,2.53,0,1.54,3.18,0,0,0,0,1.57,0,0,0,0
108-118,0,3.07,0,11.81,1.12,0,6.87,0,0,2.92,0.67,0,0,0.43,4.99,3.03,2.13,0.72,0,43.46,0,0.98,0,0,0.47,0,0,0,3.76,0,0,0,0,1.02
120,0,1.47,0,16.7,0,0,5.22,0,2.34,2.44,0,0,4.65,0,0,4.4,0,3.7,0,21.67,0,0,0,0,2,0,0,0,0,0,0,4.18,0,0
