stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,3.33,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.97,8.45,0,0,15.07,0,0,6.67,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,8.48,0,0,6.33,127.85,1.03,0,0,0,0,0,0,0,1.8,291.25,0,0,0.82,0,0
 24-34,0,0,0,3.41,1.74,0,9.05,0,0,0,2.57,0.92,0.85,0,33.58,0,0,0,3.78,16.54,0.68,0,4.54,935.3,10.1,9.3,2.42,0,0,4.13,1.45,0.68,1.06,940.18,0,0,0,0,2.11
 36-46,0,0,0,26.52,0,0,29.84,0,0,0.57,5.8,0,6.49,0,7.22,0,0,0,13.21,10.88,0,0.74,0.96,1958.69,0,14.44,0,0,0,0,2.18,7.3,10.34,1212.59,0,0,2.89,0,2.2
 48-58,0,0,0,23.46,3.94,0,223.62,3.88,0.51,5.49,62.86,0,2.39,2.06,12.55,7.88,1.19,0,3.06,24.71,0.8,0.56,11.3,2892.14,0,6.63,2.86,0,0.59,3.86,0,0.46,0,1015.91,0,0,6.2,0,19.3
 60-70,0,0,0,16.37,2.92,0,696.95,0,8.4,0,29.36,0.68,0,4.79,7.07,0,0,0,0,25.55,0,0,1.75,4111.22,2.15,0,0.62,0,0,9.36,0,0,0,965.29,0,0,0,0,3
 72-82,0,0.81,0,29.79,9.25,0,1229.51,0.96,6.39,2.92,71.36,2.52,0.75,0,11.62,2.8,3.39,6.01,0,66.24,0,10.19,3.45,4046.44,0,12.64,0.54,0,0,3.95,5.05,3.31,0,683.17,0,0,5.07,2.37,23.57
 84-94,0,0,0,20.03,1.24,0,871.69,0,0.68,1.74,62.86,2.14,0,1.97,22.58,12.27,0,0,0,58.57,4.15,4.87,2.18,2601.43,0,0,0,0,0,6.9,0,0,0,495.97,7.38,4.54,0,0,12.99
 96-106,0,0,0,40.86,16.75,0,846.74,0.57,0.62,1.12,106.11,1.9,1.52,2.4,28.96,0.71,0,9.55,0,48.08,0,4.72,0.93,2308.22,0.91,10.62,0,0,0.87,14.49,0,0,0,221.55,7.32,0,2.1,0,10.05
108-118,0,0,1.18,32.63,0,0,986.34,0,0,3.14,161.27,2.57,0,4.48,32.54,0,0,7.86,0,42.29,0,2.11,3.93,3138.85,0,4.01,0.48,0,6.24,9.37,0,0,0,153.45,6.15,2.38,3.61,3.8,13.46
120,0,0,0,47.75,7.96,13,1477.97,1.01,1.55,0,256.88,1.21,0,14.65,22.75,0,0,1.05,0,52.37,1.49,16.18,0,7023.02,0,2.95,0,0,9,3.23,0,0,0,466.76,2.82,0,10.9,2.27,6.74
