stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.17,0,4.07,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.02,0.81,0,0,0,0,0,0,5.37,0,0,0,0,0.82,6.38,0,0
 24-34,0,0,0,3.17,0,0,0,0,0,0,0.78,0,0,0,81.3,0,0,0,0,0,19.68,0,0.6
 36-46,0,0,0,16.25,0.58,0,2.79,0,0,0,0,0,0,0,68.93,0,0,0,0,0,10.08,0,0
 48-58,0,0,0,155.31,0,0,9.61,0,0,0,0.39,0.86,0,0.79,32.74,0,0,0,0,0,15.2,0,0
 60-70,0,0,0,324.46,0,0,15.42,0,0.6,0,0,4.12,5.29,0,20.98,0,0,0,0,0,3.98,0,0
 72-82,0,0,0.62,182.53,0,0,14.13,0,0.93,0,0,2.61,0,1.18,32.35,0,0,0,0.64,0,10.89,0.96,0
 84-94,0,1.29,0.86,188.03,0,0.87,14.26,0,0,3.88,0,2.64,0,0,10.18,0,0,0,0,0,9.46,0,0
 96-106,0,0,1.93,203.95,0,0,15.9,0,0,0,0,3.13,0,0,20.35,0,0,0,0,0,8.02,1.13,0
108-118,0,0,0,268.33,0,0,10.73,0,0,0,1.18,1.64,1.31,0,12.24,1.27,0,7.52,0,0,2.91,0,0
120,0,0,0,153.37,0,0,26.11,0,0,0,0,0,0,0,25.26,0,0,0,0,0,0,0,0
