stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.84,200.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.99,199.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.46,0,4.48,0,0,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.17,0,0,0,20.32,0,41.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,19.65,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,174.25,0,0,0,16.65,0,38.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,4.13,3.03,0,2.95,0,0,1.08,0,0,0,13.96,13.76,0,0,0,3.65,0,0,6.18,35.56,0,0,0,0,0,93.04,1.75,5.2,14.24,4.98,7.41,0,0,0,0,0
 24-34,0,0,0.84,1.38,2.64,2.95,0,3.78,0,0,0,0,0,0,16.43,18.77,0,6.37,0,2.41,0,0,0.83,56.38,0.7,1.16,1.37,0,0.99,66.8,0,0.7,0,0.74,7.49,0,0,5.51,0,0
 36-46,0,0,0,0,12.83,0,0,6.67,0,0,1.09,0.58,0,0,23.86,5.48,0,10.37,0,7.13,0,6.76,0.97,87.11,0,0,0,0,0,45.87,0,0,0,0,19.64,0,0,0,0,0
 48-58,0,0,0,0,2.12,1.27,0,21.17,0,0,7.97,1.98,0,0,21.94,0.9,1.23,0,0,11.52,0.41,5,2.79,82.51,0,2.84,0,0,0,24.8,0,0,0,0,26.42,0,0.44,0.45,0,0.48
 60-70,0,0,0,0,10.98,1.34,0,32.41,0.62,1.7,4.66,8.19,0,0,15.69,1.29,1.89,0,0,16.42,0,36.26,1.65,65.23,0,0,0,0,2.4,9.35,0,0,0,0,20.39,3.12,7.23,0.58,4.92,0
 72-82,0,0,0,0,5.63,2.25,0,13.14,0,1.99,6.11,0.58,0,0,37.57,9.57,1.65,0,0,5.24,0.61,24.9,0,55.23,0,0,0.61,0,0,16.14,0,0,0,0,5.66,0.71,6.49,3.08,25.21,0
 84-94,0,0,0,0,11.16,6.65,0,33.24,0.75,0,2.4,7.3,0,0,41.69,11.23,0,0.57,0,3.12,0.78,33.95,0.84,28.84,0,0.71,0,0,0,41.88,0,0,0,0,0,9.88,30.83,2.98,27,0
 96-106,0,0,0,1.58,27.92,7.94,0,7.37,1.64,0,5.97,6.16,0,2.93,65.59,24.4,0,0,0,14.12,0,26.56,1.65,29.12,0.64,2.92,0.6,0,0,48.76,0,0,0,0,6.13,2.24,10.2,1.32,38.86,0
108-118,0,0,0,0,25.74,8.89,1.08,18.95,0,1.14,10.54,3.51,0,0,53.96,7.95,1.72,0.43,0.44,10.28,1.1,23.28,1.19,47.7,0,0,0.51,0,0,54.07,0,0,0.94,0,4.59,2.43,5.03,2.46,21.89,0
120,0,0,0,0,23.65,15.46,0,2.01,0,1.16,22.46,6.06,0,0,55.57,12.43,5.32,0,0,0,0,74.29,0,27.03,0,0,6.78,0,12.66,40.68,0,0,0,0,2.14,3.91,2.71,11.64,48.99,0
