stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,16.31,3.02,0,2.15,0,0,3.43,0,2.29,0,0,0,0,0,2.96,0,0,0,43.59,1.83,0,1.28,0.82,0,5.17,0.9,5.38,9.37,0,0,0
 24-34,0.66,7.99,0,0,11.56,0,0,1.16,0,0,1.56,1.01,0,0,0,4.98,1.62,0,0,80.81,0.97,2.8,4.01,0,0,0,0,0,9.41,0,0,0
 36-46,0.85,14.25,0,0,36.07,1.06,1.23,11.44,0,0,16.08,0,0,0,0,3.42,0,0,0.67,29.96,0,2.28,0.63,0,1.92,0,0.67,0,4.24,0,0,6.67
 48-58,0,6.45,0,0,25.74,0,0.43,2.04,0.69,0,0,0,0,0,0,13.71,0,0,0,45.39,0,2.36,1.02,0,0,0,0,0,1.79,0,0,0
 60-70,0,8.89,0,0,9.95,0,0,5.88,0.64,0,0,12.37,0.9,0,0,9.12,2.14,0.78,0,28.03,0,5.16,2.24,0,0,0,0,0,6.4,0,0,0.68
 72-82,0,8.28,0,0,11.23,0,0,10.33,0.51,0,0.58,0,0,2.64,3.84,11.22,0.55,0,1.45,29.28,0,1.78,1.33,0,2.27,0,0,0,0,0,0.51,5.19
 84-94,0,8.3,0,0.59,18.28,0,0,1.87,5.83,0,0,0.55,0,0,1.5,6.9,1.8,0,0,13.22,0,0,0,0,7.94,0,0.6,0,0,1.5,0,4.38
 96-106,1.04,2.55,0,0,13.03,0.59,0,4.42,1.43,0,6.8,0.74,0,2.45,0,10.67,0,0,0.61,17.11,0,6.64,2.64,0,1.59,0,0,0,1.63,0.67,0,0
108-118,0,1.77,1.87,0,12.21,0,0.47,5.75,0.49,0,1.68,1.42,0,0.63,0,20.41,0,0,1.11,24.69,0,2.84,0.72,0,0,0,0,0,0,2.19,0,2.31
120,0,1.6,0,2.69,4.69,0,0,7.47,7.43,0,0,0,0,0,0,4.75,1.63,0,0,25.29,0,3.09,4.14,0,7.93,0,0,0,0,0,0,0
