stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,160.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.03,124.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.46,5.5,0,0,0,0,0,9.42,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,321.5,0,0,0,22.84,0,13.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,309.76,0,49.92,0,0,0,415.32,0,0,0,0,0,19.24,0,0,0,0,11.2,0,0,0,0,0,11815.22,37.56,0,0,272.28,0,5.55,0,36.73,0,3.87,0,0,0,0,0,0
 14-21,0,0,0,0.95,157.44,4.05,0,101.58,0,1.36,0,65.26,0,0,1.63,0,0,4.14,0,0,10.15,1.37,0,4.6,12017.61,5.22,6.89,20.24,3.61,0.97,0,12.21,4.78,4.62,15.41,1502.13,0,0,0,0,0
 24-34,0,0,0,0.6,34.38,0.7,0,23.68,0,0,1.22,64.45,2.95,0,0.8,1.36,23.78,161.88,3.11,0.95,8.37,0,0,9.46,11257.34,0.95,88.1,59.59,0,4.71,0,1.15,1.45,0,4.8,1558.71,0,0,4.95,0,15.13
 36-46,0,0,0,0,14.91,0,0,19.59,0,0,0,172.36,0,0,0.84,0.76,0,197.7,0,6.02,3.76,1.41,0,0.73,5351.52,0,49.91,82.97,0,39.52,0,0,0,0,0,834.82,0,0,1.3,0,16.52
 48-58,0,0,0,0,5.64,1.05,0,45.59,0,0,1.01,393.12,0,0,0,0,0,146.6,0,12.52,9.24,0,0,0,1095.09,0,36.18,65.79,0,2.06,0,0,0,0,0,293.24,0,0,0.46,0,37.49
 60-70,0,0,0,0,4.75,0,0,18.6,1.99,0,0.63,314.9,0,0,0,4.29,0,177.51,0,8.16,6.22,0,0,0,186.96,0.62,25.17,115.56,0,0,0,0,0,0,0,73.41,0.59,0,0,0,36.59
 72-82,0,0,0,0,5.34,0.93,0,28.71,0,0,0,232.93,1.53,0,0,0,1.13,218.13,0,0.9,2.34,1.12,0,0,116.85,1.26,23.93,38.98,0,0,0,0,0,0,0,26.73,0,0,3.01,0.67,9.54
 84-94,0,0,0,0,6.58,5.26,0,24.75,0,0,0,153.13,0,0,0,0,0,294.14,0,2.3,1.37,0,1.01,0,120.79,0,25.93,57.15,0,0.68,0,0,0,0,0,26.35,1.89,0,4.59,0,5.65
 96-106,0,0,2.02,0,9,0.69,2.47,32.21,0,0.75,0,186.82,1.85,0,0,0.64,0,376.15,4.87,1.24,0.97,0,0,0,86.48,0.74,30.68,22.46,0,0.73,0,0,0,0,0,15.99,0,0,0,0,16.9
108-118,0,0,0,0,4.25,12.4,0,21.05,0,0,0.43,154.5,0,0,0,0,0,249.57,2.5,8.15,4.66,0,0,0.57,128.15,0,29.36,64.16,0,6.08,0,0,0,0.94,0,10.43,0.42,1.42,1.6,0,22.89
120,0,0,0,0,0,23.22,0,39.44,0,0,0,279.24,5.05,0,0,0,0,227.14,2.87,0,0,0,0,0,169.13,0,35.09,63.11,0,1.13,0,0,0,0,0,19.75,0,0,0,0,10.91
