stage,blastomeres,endoderm,epidermis,eye,glial,iridophores,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,72.94,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.31,0,0,0,0,5.21,0,0,0,0,0
 10-12,0,7.75,0,0,0,0,0,0,40.99,0,4.17,0,0,0
 14-21,0,0,0.82,0,0,0,0.83,0,2.25,1,0,0,0.97,3.09
 24-34,0,0,0,1.4,0,0,0,0,7.2,0,0,0.68,0,0.68
 36-46,0,0,0.56,3.16,0,0,0,0,5.32,0,0,0,0,0
 48-58,0,0,0,11.43,0,0,0.98,0.4,2,0,0,0,0,0.49
 60-70,0,0,0,2.42,0,0,1.84,0,5.36,0,0,0,0,0
 72-82,0,0,0,1.43,0,0,0,0,1.78,0,0,0,0,0
 84-94,0,0,0,1.44,0,0,0,0,10.38,0,0,0,0,0
 96-106,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
108-118,0,0,0,6.94,0,0.44,0,0,0,0,0,0,0,0
120,0,0,0,0,1.14,0,1.8,0,3.53,0,0,0,0,0
