stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,50.01,587.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.41,551.32,0,0,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.73,0,0,12.67,0,0,0,5.79,0,0,0,0,0,24.15,0,0,0,0,0,0,0,0,0,138.21,5.33,0,0,35.34,6.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.62,0,0,0,4.23,0,0,0,0,0,23.02,0,0,0,0,0,0,0,0,0,47.78,18.81,0,0,26.57,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.27,44.63,2.65,0,17.93,0,0,0,0,1.89,6.48,0,0,0,0,0,0,3.03,0,8.74,115.1,1.85,1.4,0,0,2.91,1.12,2.64,1.95,0,3.4,38.27,0,0,1.07,0,0
 24-34,0,0,1.35,0,9.91,0,0,9.28,0,1.04,0,0,3.36,0,0.76,0,0,0.71,0.68,1.34,7.5,0,1.47,110.49,7.33,0,0,0,15.63,0,0,0.61,0,0.63,20.37,0,0,0.97,0,0
 36-46,0,0,0.95,0,9.91,0,0,0,0,0.57,0,3,0,0,0,0,0,0,0,0,7.75,0,0.81,118.21,2.25,0,0,0,16.68,0,0,6.28,0,0,23.84,0,0,0,0,3.02
 48-58,0,0,0,0,2.06,0,0,5.44,0,0.58,1.7,3.64,0.39,0,0,0.56,0,0.41,3.07,0,10.24,0.5,1.56,95.65,0,0,0.46,0,13.03,0,0,0.42,0,0,17.79,0,0,0,0,0.62
 60-70,0,0,0,0,12.62,0,0,8.42,0,1.96,7.85,15.08,3.02,0,2.33,1.42,0,1.55,0,4.47,18.64,0,3.28,37.41,0,0,3.87,0,11.12,0,0,5.84,0,0,5.82,0,0.57,0,0.64,10.27
 72-82,0,0,0,0,1.42,0,0,8.62,0,2.76,11.99,19.14,11.62,0,0,0,0,1.43,3.44,0,14.43,0,2.34,55.29,0,1.28,0.56,0,4,0,0,9.3,1.5,0,2.78,0,0,1.04,0,1.15
 84-94,0,0,0.66,0,11.24,0,0,14.96,0,0,10.38,3.39,17.15,0,0,0,1.2,0,13.57,0,16.08,1.22,2.87,22.55,18.82,0,1.68,0,8.73,0,0,7.21,0,0,15.63,0,0,0,0,0
 96-106,0,0,0,0,2.86,1.27,0,12.58,0,0,0,36.21,44.9,0,0,2.26,0,5.56,30.38,0,18.1,0,1.42,45.77,0,1.44,0,0,2.07,0,0,3.21,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.47,0,0.82,27.92,0.56,1.03,2.34,23.5,61.44,0,0,4.26,0,3.01,81.51,0.91,20.3,0,6.01,65.63,4.97,2.39,0,0,6.49,0.42,0,11.39,0,0,2.33,0.87,0,1,1.83,0
120,0,0,0,0,2.93,0,0,6.07,0,1.5,0,24.54,60.35,0,0,0,0,0,35,0,42.14,0,0,67.85,0,0,1.16,0,1.16,0,0,10.8,0,0,0,0,0,0,0,0
