stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,56.9,205.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.25,640.39,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,8.7,0,0,6.17,0,8.81,0,0,0,0,0,0
  7-9,0,0,10.98,0,0,12.21,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,164.28,3.21,0,0,48.62,0,0,0,0,0,0,0,0
 10-12,0,0,8.07,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.02,4.22,0,0,41.45,0,0,0,15.34,0,0,0,0
 14-21,0,0,0,18.99,3.69,8.3,0,0,7.97,2.02,0,0.84,0,0,0,0,0,0,19.56,0,8.78,131.12,2.22,0.83,2.86,3.03,0,2.32,18.32,0.82,11.97,35.28,0,0
 24-34,0,0,0.81,2.76,0,13.01,0,0,4.56,0,0,0,0,0.61,0,0.78,0,1.34,6.4,0,3.66,184.75,0,0.98,0.64,0,0,0.72,0,0.74,0,26.77,2.53,0
 36-46,0,0,0,13.6,0,33.64,0,0,0.83,0,0,0,0,0,0,0,0,0,10.72,0,0.9,120.64,0,1.09,0,0,0,1.98,0,0.74,0,27.86,0,0
 48-58,0,0,0,3.97,0,26.36,7.85,1.57,10.51,0,0,0,7.11,0,0,0,0,0,7.44,0.75,3.67,45.81,0,0,2.66,0,0,3.77,0,0,0,9.92,2.01,0
 60-70,0,0,0,0.88,0,29.34,0,1.34,4.97,0,0,0,0,0,0,0,0,0,10.23,3.92,0.6,52.19,0,2.01,0,0,0.96,1.12,0,0,0,2.56,3.87,0
 72-82,0,0,0,0.52,0,10.18,0,0.55,6.98,3.34,0,0,0,0,0,0.74,0,0,17.11,0,2.43,14.27,0,0.97,1.27,0,0,0,0,0,0,0.92,0.79,0
 84-94,0,0,0,2.06,0,5.09,0,0,3.23,0,0,0,0,0,0.61,0,0,0,10.97,0,8.84,15.83,0.57,0,0,0,0,2.37,0,0,0,5.15,0,0
 96-106,0,0,0,1.11,0,4.12,0,0.82,1.99,0,0,0,0,0,0.79,0,0.76,0,7.57,0.57,1.64,3.58,0,0,1.84,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.59,0,10.58,0,0,2.25,0,0,0,0,0,1.24,0,0,0,23.07,0,3.98,26.08,0,1.84,0,0,0,2.58,0,0,0,0,3.04,2.24
120,0,0,0,5.14,0,0,0,0,8.68,0,0,0,1.01,0,1.74,0,0,0,6,0,1.67,54.11,0,0,0,0,0,0,0,0,0,0,0,0
