stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.46,599.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0
  5-6,25.5,521.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,22.23,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.69,0,0,0,17.12,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,9.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0.83,0.7,1,2.7,0,0
 36-46,0,0,0,1.25,1.44,0,0,0,0,0,0,0,0,0,4.08,1.37,0,0,0,12.13,0,0,0,0,0.76,0,4.71,0,0,0
 48-58,0,0,0,3.44,0,0,0,1.24,0,0.86,0,0.38,0,0,0,0,0,0,0,22.87,0,0,0,0,0,0,5.18,0,0,0
 60-70,0,0,0,3.17,16.28,0,0,3.18,0,0,0,0,0,3.79,0,6.71,0,0,0,32.82,0,0.98,0.91,0,3.42,0,22.62,0,0,0
 72-82,0,0,1.05,32.37,31.66,0,0,11.45,0,0,0,0,0,0,0,8.28,0,0,3.57,40.71,0,0,0,0,0.58,0,32.97,0,0,0
 84-94,0,0,0,51.76,16.82,0,0.74,21.02,0,0,0,1.52,0.65,0,0,27.66,0,0,1.31,48.59,0,0,0,0,0.73,0,18.39,2.66,2.16,0.59
 96-106,0,0,0,40.95,27.06,10.44,3.48,14.73,0,0,0,0,0.67,0,3.42,24.31,2.95,1.24,0.65,52.77,0,0,1.09,0,1.05,0,5.48,0.62,0,1.06
108-118,0,0,0,22.08,34.51,0,3.36,19.4,0.44,0,0.42,0.95,0.78,0,4.51,46.89,3.79,0,0,52.8,0,0,0.48,0,2.43,0.43,4.82,0.79,0,3.84
120,0,0,0,40.17,17.08,0,0,34,0,0,0,0,2.12,0,0,33.04,0,0,0,98.75,3.87,0,0,0,0,0,2.1,0,0,0
