stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,71.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.04,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0
  7-9,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4.19,0,0,1.33,0,0,0,0,0,0.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,8.8,0.85,0,0,6.77,0,1.67,0,0,9.24,0,0,0
 36-46,0,0,0,0,0,1.45,0,0,0,0,0,0,0,14.25,5.1,0,0,0,0,1.14,0,0,0
 48-58,0,0,0,0,0,1.4,0,0,0,0,2.88,0,0,0,6.06,0,0,0,0,0.79,0,0,0
 60-70,0,0,0,0,0,9.86,5.04,0,0,0.61,9.98,0.59,0,0,24.81,0,0,0,0,1.65,0,0,0
 72-82,0,0,0,2.33,3.1,30.91,0,0,0,0.6,1.6,20.1,0,0,9.68,0,0,0,0,0,5.34,1.35,0
 84-94,0,1.15,0,0,0,88.59,0,0,0,6.35,7.6,8.44,0,0,28.33,0,1.45,0,0,0,22.1,0,0
 96-106,0,0,0,3.96,4.14,126.53,0,4,6.78,23.54,14.56,7.83,7.39,2.57,19.12,0,4.53,0,0,0,25.25,2.02,2.56
108-118,0,0,0,3.28,0.6,203,0,0,1.55,44.98,38.28,8.97,0,0,13.42,0,2.26,0,0.49,0,25.39,0,0
120,0,0,0,0,3.62,145.52,0,3.83,3.95,97.12,49.86,0,0,0,48.16,0,0,0,0,7.97,16.53,0,0
