stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,304.02,6465.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.44,0,0,0,0,0,0,0,0
  5-6,212.67,3342.9,8.02,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,104.01,0,0,0,41.94,79.83,0,0,0,0,0,0,0,0
  7-9,58.58,113.18,96.91,0,0,0,188.79,0,0,0,0,0,99.01,0,0,0,0,0,0,0,0,0,0,1559.87,38.35,0,0,512.99,5.78,68.07,0,0,0,0,0,0,0
 10-12,3.8,24.96,37.01,0,0,0,179.86,0,0,0,0,0,31.8,0,0,0,0,0,0,0,0,0,0,991.95,37.33,0,0,369.62,0,24.39,4.43,20.5,0,4.89,0,0,0
 14-21,0,0,4.44,17.18,7.27,0,5.38,0,0,0,2,2.65,0,0,0,1.78,0,0,0,8.63,0,0,15.61,165.45,20.06,0.83,0.93,5.65,10.24,0,20.75,1.05,55.5,52.39,27.66,1.14,0
 24-34,0,0,0.87,3.91,0.69,0,23.48,0,0.85,0,0,0,0,1.77,0,0,0,0,0,29.57,0,0,6.43,275.15,3.68,0.65,1.69,0,29.86,0,0,0,0,1.32,40.35,8.38,0.72
 36-46,0,0,0.56,6.5,0.73,0,36.97,0,1.12,0,4.75,0,0,0.87,0,0,1.88,0,0,13.23,0,3.87,1.85,121.11,1.52,0.63,0,0,4.88,0,0,0,0,0,30.38,1.01,9.25
 48-58,0,0,0.4,0,0,0,44.29,1.55,0,0.42,2.94,0,0,0,0,0.37,0,0,0,15.42,0.37,0.4,2.52,48.59,6.62,0,0.37,0,4.4,0,0,0,0,0,4.73,0,3.36
 60-70,0.81,0,0,4.29,0,0,33.21,0.69,0,1.53,9.23,0,0,0,0,5.28,1.16,0,1.06,10.77,0,1.79,0,44.04,0,0,0,0,0.67,0,0,0,0,0,2.66,1.02,0
 72-82,0,0,0,0.59,0,0,5.82,0,0,0,2.75,0.53,0,0,0,0,0,0,0,8.93,0,0,4.13,27.21,0,0,3.71,0,1.03,0,0,0,0,0,0.85,4.91,0
 84-94,0,0,0,4.37,0,0,10.58,0,0,1.01,1.06,3.77,0,2.85,1.8,0.69,0.62,1.52,0,12.94,0,3.42,2.9,15.99,0.62,0,0,0,2.94,0,0,0,0,0,2.63,1.14,0
 96-106,0,0,0,0,0,1.66,1.96,0,0.69,0.65,3.89,0.81,0,0.86,0,0,0,0,0,5.37,0,0,0.84,18.43,0.62,0,3.65,0,1.44,0,0,0,0,0,0,0.62,1.22
108-118,0,0,0,2.63,0.54,0,2.91,0,0,0,5.22,0.47,0,0,0.63,0.44,0,0,0,15.04,0,0.94,0.91,16.89,0,0.66,0,0,1.05,0,0,0,0,0,0,1.23,0
120,0,0,0,0,2.93,0,9.45,0,0,0,15.98,0,0,0,1.75,1.1,0,0,0,8.86,0,0,4.17,18.34,4.72,0,0,0,0,0,0,0,0,0,2.31,1.23,0
