stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,32.88,583.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.63,0,0,0,0,0,0,0
  5-6,0,309.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.72,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.98,17.72,3.34,0,0,8.39,0,0,0,0,11.04,0,0,0,0,0,0,0,0,0,0,319.82,22.82,0,0,149.81,0,0,0,0,0,0,0,0,0
 10-12,0,9.71,4.23,0,0,26.67,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,290.83,0,0,0,99.85,0,4.8,5.62,0,13.36,0,0,0,0
 14-21,0.89,0,0,2.53,0.92,0.9,0,0,1.23,0,0,0,0,0,0,0,0,2.26,0,0,2.13,14.76,0,0,0,0.9,0,0,0,1.73,0,4.87,2.91,0,0
 24-34,0,0,0,5.86,0.78,5.74,0.7,0,1.4,0,0,4.39,0,0,0,0,0,5.83,0,0,0.77,47.76,0,1.46,0,0,0,9.07,0,0,0,0.75,4.67,0.89,1.48
 36-46,0,0,0,0.71,0,1.27,0,0,3.27,0,0,0.6,0,0,9.5,0,0,4.41,0,0,1.48,27.99,4.53,0,0,0,0,0.74,0,0,0,0,12.9,0.62,0
 48-58,0,0,0,0,0,21.11,0.55,0.58,1.1,0,0,0,0,0,0,0,0.4,1.49,0,0.46,2.16,62.12,0,0,0,0,0,9.86,0,0,0,0,10.78,0.49,0
 60-70,0,0,0,3.16,0,20.16,3.01,0,2.04,0,0,0,0,0,0,0,0,0.72,0,0,0,44.61,0,0,0,0,0,11.28,0,0,0,0,2.3,2.57,0
 72-82,0,0,0,1.5,0,102.94,0,0,6.26,0.59,0.52,0.88,2.13,0,0,0,0,20.94,0,0,5.84,92.56,0,1.05,0,0,1.12,6.8,0,0,0,0,4.75,2.31,0
 84-94,0,0,0,0,0,35.62,0,0.85,3.6,0.97,0,0,3.81,0.56,0,0,0,7.69,0,0,0.61,36.51,0,0,4.06,0,0,4.9,0,0,0,0,4.08,10.93,0
 96-106,0,0,0,1.27,0,11.24,0.68,0,2.78,0,0,0.96,5.03,0,0,0,0,5.07,0.76,0,0,18.47,0.66,0,0,0,0,3.9,0,0,0,0,0,3.5,0
108-118,0,0,0,1.41,0.48,3.8,0.43,0.6,0.5,0,0,1,1.19,0.47,0.88,0.6,0,0.73,0,0,0,25.51,0,0,0,0,0,2,0,0,0,0,0.72,0,0.91
120,0,0,0,0,1.64,0,1.75,0,0,0,0,0,1.68,0,0,0,1.55,0,0,0,0,38.87,0,0,0,0,3.42,2.91,0,0,0,0,0,1.54,0
