stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.76,202.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0
  5-6,17.83,498.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.79,0,0,0,0,0,18.16,0,0,0,0,0,0,0,0,0
  7-9,8.5,48.61,0,29.4,0,0,120.17,0,0,0,0,0,110.09,0,0,0,0,0,0,0,0,0,0,0,697.7,7.8,0,0,88.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.92,0,0,24.17,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,396.35,0,0,0,17.35,0,0,0,6.06,0,0,0,0,0,0,0
 14-21,0,0,0,5.83,119.18,17.43,74.96,0,2.53,0,5.27,1.73,0,6.47,0,1.35,0,0,0,0,156.15,0,0,66.8,349.07,6.21,1.37,11.53,5.27,0,13.94,2.24,0,5.06,97.9,0,0,3.01,0,0
 24-34,0,0,0,0.84,70.58,2.11,219.85,0,6.58,2.53,27.75,2.06,0.76,24.61,0,0,1.61,0,1.41,0,280.54,0,0.89,82.43,419.95,7.68,0,7.05,0,0.99,47.55,0,0.93,6.47,129,0,0,6.12,0,0
 36-46,0,0,0,0,27.39,0.75,235.56,0,33.36,1.26,44.03,0.82,0,16.25,0,0,0,0,0,0,227.27,5.63,8.27,27.35,235.03,2.43,3.2,1.49,0,2.1,70.3,0,0,0,86.28,0,0.85,0.71,0,0
 48-58,0,0,0,0,21.36,0,333.95,0,3.64,2.6,104.32,1.61,0,11.24,0,0,0,0,5.5,3.06,160.79,1.94,12.75,36.73,171.51,8.56,0,7.87,0,2.28,39.76,0,0,0,79.54,0,0.37,1.11,0,0
 60-70,0,0,0,0,58.1,0,250.11,0,4.16,7.54,90.87,0,0,4.09,0,0.92,2.88,1.2,0,0,92.92,0,11.65,9.09,90.41,10.29,0,12,0,9.53,33.46,0,2.82,0,32.77,0,0,2.47,0,7.44
 72-82,0,0,0,0,45.55,0,161.67,0,14.4,14.75,141.42,0.94,0,1.79,0,1.02,0,0.88,0.62,0,114.01,4.5,7.13,16.87,93.15,2.74,0.58,10.36,4.01,7.65,29.03,0,0,0,12.47,1.97,1.43,3.35,1.28,0
 84-94,0,0,0,0,58.94,0,123.35,0,17.26,3.06,93.6,1.67,0,2.88,0,2.59,0,0,0,10.88,135.99,8.28,6.19,6.68,97.29,7.34,0,8.61,0,10.92,85.92,0,2.1,0,12.42,1.14,0,0,0.89,3.06
 96-106,0,0,0,0,68.59,0,99.77,0.87,20.67,2.11,146.23,5.44,0,6.68,0.96,2.24,0,0,2.85,2.91,111.39,14.24,16.27,7.54,80.41,0.81,7.48,18.11,0,3.53,89.68,0,0,0,16.78,3.91,3.04,7.26,4.24,0
108-118,0,0,0,0,95.61,1.19,131.58,0,18.04,1.56,90.02,0.92,0,2.8,0,5.91,0,0,1.91,2.8,129.91,10.75,6.24,10.59,111.54,7.91,0.53,14.15,0,2.98,74.11,0,0,0,14.64,1.96,1.81,1.57,1.7,7.45
120,0,0,14.01,0,96.03,0,167.68,0,30.41,6.87,110.77,1.29,0,0,0,4.94,0,0,5.06,0,115.85,9.17,31.88,8.08,107.95,0,0,1.66,0,0,61.63,0,0,0,4.03,1.1,2.41,0,0,0
