stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,2.71,0,0,161.9,12.47,27.68,0,0,0,1.75,6.3,0.96,0,0,0,0,0,0,0.94,41.13,0,0,24.67,139.48,5.6,0,0,22.87,0,0,71.46,0.91,12.08,56.6,40.88,0,0,6.46,0,3.74
 24-34,0,0,0,4.59,46.22,4.76,27.94,0,12.65,2.89,13.16,9.31,0,1.13,3.8,1.93,0,0,2.54,9.24,98.03,0,0,31.1,217.8,3.16,0.78,1.34,0,0,3.16,0,0.76,1.89,36.78,40.47,0,0,24.75,0,11.72
 36-46,0,0,0,0,21.25,0.81,74.24,0,1.53,16.43,61.24,3.33,0,2.03,0.98,0,2.16,0,0,5.01,184.2,0,2.19,30.63,279.04,4.22,0,2.84,0,0,10.55,0,0,0,0,81.03,0,0,13.42,0,16.66
 48-58,0,0,0,0,13.11,0,153.58,0,4.27,7.42,99.63,0.81,0,3.75,5.83,0.38,9.3,1.59,1.31,2.82,211.59,0,12.74,30.95,150.45,0.49,0.6,3.54,0,0.45,7.21,0,0,0,0,64.95,0,1.08,33.83,2.7,11.94
 60-70,0,0,0,0,9.55,0,221.24,0,6.97,13.54,34.46,1.27,0,6.52,20.67,1.63,0,0.63,0,0,232.51,0,15.13,12.34,68.79,0,2.58,0,0,0,17.01,0,0,0,0,25.96,0,14.24,26.06,4.51,22.69
 72-82,0,0,1.37,0,19.27,0,70.03,0,11.31,21.44,21.27,3.32,0,9.65,13.74,1.16,0.72,3.3,0,0,238.9,0.56,13.38,9.36,68.34,0,1.87,2.12,0,2.32,24.73,0,0,0,0,5.76,0,14.76,42.71,10.32,24.97
 84-94,0,0,0,1,46.15,3.31,110.87,0,23.66,9.07,9.36,2.85,0,6.57,20.52,2.85,5.09,0.69,10.9,0,228.82,0,10.4,10.96,54.87,0.74,0,0.56,0,9.46,70.52,0,0,0,0,1.95,0.57,4.97,20.51,6.15,8.04
 96-106,0,0,0,0,50.78,0,71.97,0.9,14.34,15.84,23.84,0.73,0,6.37,31.05,5.05,0,2.42,0,0,210.89,3.12,3.21,9.14,56.67,0,7.35,1.95,0,6.95,111.58,0,0,0,0,1.94,0,19.63,48.33,11.36,42.82
108-118,0,0,0.84,1.1,40.26,0.46,73.42,0,19.27,12.69,11.34,2.44,0,3.59,24.11,7.9,2.1,0.46,1.43,2.72,227.01,1.14,5.99,9.48,60.43,0,5.4,0.75,0,14.24,88.65,0,0,0.86,0,2.35,0.94,23.77,15.73,8.17,28.82
120,0,0,0,0,108.89,6.78,54.67,0,44.28,8.22,16.82,1.35,0,1.17,20.59,1.25,33.77,0,0,0,207.65,4.9,19.85,1.5,48.97,2.33,0,3.89,0,18.18,37.48,0,0,0,0,10.04,0,4.65,63.07,5.88,3.6
