stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.18,146.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0,0
  5-6,20.9,194.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.59,0,0,0,0,23.36,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.34,20,0,0,22.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.22,0,5.62,0,8.31,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.29,44.36,0,0,27.1,0,0,0,9.36,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.68,0,0,0,0,0,2.32,0,0,0,0,0,0,1.01,0,0,3.32,62.13,0,0,0,0,0,0.91,0.95,0,1.06,41.43,0,0,1.17,0,0
 24-34,0,0,0,0,2.63,0,1.39,0,0,0,2.86,0,0,0,0,0,0,4.31,0,0,1.54,444.02,0,4.98,0,0,0,0,0,0,0.68,112.66,0,0,0,0,0
 36-46,0,0,0,0,19.57,0,13.39,0,0,0.6,10.98,0,0,0,0,0,3.96,4.76,1.26,0,1.51,1627.63,2.73,16.32,0,0,0,0,0,0,0,287.19,0,0,0,0,0
 48-58,0,0,0,0,3.97,0,125.51,0,5.32,0,9.8,0,0,0,6.72,0,0,13.37,0,0.54,2.3,2410.46,0,6.54,1.21,0,0.46,0.65,0,0,0,287.28,0,0,0.38,0,4.69
 60-70,0,0,0,0,9.66,0.57,429.61,0,1.18,0,43.4,0,5.16,0,0,0,0,21.02,0,0.78,1.42,3978.22,0,4.08,0,0,0.57,0,0,0,0,387.1,0,0,0,0,10.13
 72-82,0,0,0.71,0,7.51,0,465.52,0,0,0,42.96,0,0,0,0,0,0,19.96,0,0.57,1.98,3062.74,0,4.18,0,0,0,0,0,0,0,153.72,0,0.63,0,0,3.34
 84-94,0,0,0,0,12.51,2.86,337.5,0,1.68,3.8,34.35,0,0.59,0,2.83,0.69,0,21.02,0,0,1.22,1938.91,0,11.19,0.58,0,0,0,0,0,0,122.67,0,2.29,0,0.63,0
 96-106,0,0,0,0,11.14,22.51,226.64,0,0,0.82,28.56,0,0,0,4.83,0,3.23,11.1,0,0,4.32,1727.11,0,8.82,0,0,0,0,0,0,0,65.45,11.25,0,0.7,0,0
108-118,0,0,0,0,7.6,0.58,221.99,1.54,0,0.71,26.31,0,0,1.19,0,0,0.7,18.03,0,0,1.6,1613.24,0,7.16,2.07,0,4.98,0,0,0,0,34.69,0.48,0,0.56,1.05,0
120,0,0,0,0,57.68,0,265.98,0,0,0,41.73,1.26,3.35,0,6.33,0,0,18.01,0,0,0,2707.02,5.7,1.48,0,0,3.23,0,0,0,0,56.14,2.24,0,0,0,0
