stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,63.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,44.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.49,0,0,9.58,0,0,0,0,0,12.51,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,13.97,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.81,0.87,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,5.27,0,0,2.99,14.73,0,0,0,0,0,0.8,0,1.32,3.75,2.63,0,0,0,0,0
 24-34,0,0,0,0,3.32,0,2.24,0,0,0,2.52,0,0,0,0,0,0,0,0,0,2.06,0,0,10.39,45.6,0,1.61,0,0,29.61,0,0,0,5.76,15.4,0,0,0,0,0
 36-46,0,0,0,0,9.63,0,11.74,0,10.94,0,2.62,0,0,0,0,0,0,0,12,0,9.47,0,0.86,2.65,91.93,0,1.07,0,0,106.41,0,0,0,0,27.87,0,0,3.92,0,1.54
 48-58,0,0,0,0,12.11,0,25.55,0.62,0.56,0.65,3.73,0,0,0.87,0,0,0,0,0,5.79,7.48,1.76,0,1.42,111.6,0,0.55,0,0,41.24,0,0,0,0,29.36,0,0,0,0,1.24
 60-70,0,0,0,0,9.72,0,57.04,0,0.64,0,4.27,0,0,0,0,1.4,1.16,0,1.45,0,13.49,1.53,1.55,0,278.22,6.71,1.08,0,0,84.35,0,0,1.48,0,25.29,0,0.63,0,0,6.09
 72-82,0,0,0.69,0,4.9,9.33,46.07,0.74,0.56,2.41,2.52,0,0,0,0.56,0,2.8,8.04,1.54,0,29.36,1.59,0,0.56,157.3,0,0.97,0,0,41.55,0,0,0,0,24.19,0,0,0.81,3.54,1.11
 84-94,0.62,0,0,0,7.16,0,32.28,0.79,1.22,0.91,7.81,0,0,0,0,1.26,0.62,0,0,7.12,13.26,0.57,1.58,4.15,112.5,0,0,0,0,102.42,0,0,0,0,33.39,1.21,0,0,2.45,0
 96-106,0,0,0,0,7.75,0,19.75,0.76,0.62,1.21,12.59,0.59,0,2.78,1.23,1.74,8.12,2.22,1.54,0,28.59,0,0,6.87,108.15,0,0,0,0,159.32,0,0.82,0,0,16.74,1.64,0,0,0,0
108-118,0,0,0,0,23.63,0.74,15.73,4.41,3.84,0.48,12.85,0,0,0,0,0.44,0.67,0.76,0.6,0,37.39,0,3.67,4.58,179.97,0,4.85,0,1.57,103.39,0,0,0,0,9.54,2.11,0,0,0.57,0
120,0,0,0,0,14.64,0,47.31,0,3.83,0,7.27,0,0,0,8.22,1.25,8.53,0,0,0,35.86,0,0,0,191.22,0,0,0,3.68,117.66,0,4.24,0,0,0,0,0,7.01,0,0
