stage,blastomeres,eye,fast.muscle,glial,ionocyte,mesenchyme,neural,notochord,olfactory,pericytes,periderm,spinal.cord
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.07,0.78,0,0,0
 36-46,0,0,0,0,0,0,3.77,0,0,0,0,0
 48-58,0,0,0.68,0,0,0,0.65,0,0.87,0,0,0.86
 60-70,0,4.96,0,1.1,0,0,3.8,0,0,0,0,0
 72-82,0,9.73,0,0,0,0,13.05,0,0,0,0,1.07
 84-94,0,2.38,0,0,0,0,1.25,0,0,0,2.74,0
 96-106,0,1.68,0,0.8,0,0,5.73,0,0,1.51,0,0
108-118,0,6.15,0,0,0.85,5.63,6.92,0,0,0,0,0
120,0,0,0,3.24,0,0,21.01,0,4.24,0,0,0
