stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.16,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,39.91,7,0,0,0,41.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.83,0,0,0,11.91,46.56,0,0,0,0,0,0,0,0
 14-21,0,23.79,8.33,0,0.86,0,0,2.32,0,0,0,1.02,2.52,0,0,0,0,2.98,0,0.91,30.12,0,0,0,0,805.18,0.87,0,1.91,5.57,0,4.81,0,0
 24-34,0,30.5,1.42,0,7.25,0,0.86,1.8,0,0,0,0,45.79,0,0.7,0,0,1.44,9.24,3.8,116.48,0.74,9.48,2.55,0,1135.44,0,0,0.64,8.09,0,28.78,0,0
 36-46,0,24.59,0,0,10.87,8.59,3.07,1.89,0,0,0,2.91,30.89,0,2.18,0,0,7.6,9.72,3.4,96.06,0,12.16,0,0,1193.22,0,0,0,12.41,0,4.27,0,0
 48-58,0.58,14.19,0,0,26.19,8.15,0,6.89,0.82,0,0.54,3.04,18.96,0,2.53,0,6.81,8.56,6.68,2.64,80.14,0,12.38,0,0,837.2,0,0,0,12.6,0,1.38,0,0.99
 60-70,0,30.97,0,8.61,9.41,18.49,0,1.46,0,0,0,3.47,9.86,0,1.67,0,0,5.3,3.74,2.11,50,0,5.16,0,0,631.86,0,0,0,8.78,2.36,4.5,0,0
 72-82,0,58.41,0,0,27.61,2.47,0,4.58,2.37,0,0,19.01,32.27,0,8.96,0,0,4.98,9.82,0,54.66,0,4.82,0.57,0,429.57,0,0,0,1.09,2.31,1.1,0,0
 84-94,0,122.98,0,0,17.44,20.8,0,0,4.31,0,0,21.32,55.16,0,11.57,0,0,2.29,20.35,0,43.14,0.67,23.89,2.75,0,1413.94,0,0.8,0,27.51,7.82,1.87,0,0
 96-106,0,197.22,4.4,9.71,18.17,25.2,0,21.94,21.67,0,0,36.61,66.18,0,22.65,0.97,0,31.36,26.6,0,55.31,0,21.28,1.93,0,1128.61,0,0,0,0,7.08,10.29,2.17,0
108-118,0,218.88,9.3,0.44,24.01,41.16,0,2.56,21.75,0,0,41.65,104.89,1.74,11.77,1.88,0,23.53,22.72,1.52,53.5,0,16.29,0.72,0,1211.63,0,0,0,1.83,13.83,1.64,0.57,2.22
120,0,168.96,0,0,15.49,26.01,0,22.17,3.15,0,0,123.05,32.95,0,17.18,0,0,24.72,18.57,5.99,59.98,0,12.23,0,0,922.99,0,2.43,0,2.5,3.85,15.04,2.31,0
