stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,15.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0
  7-9,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,4.1,0,0,0,0,0,0
 14-21,0,0,0.84,2.34,0.9,1.04,0,0,0,0,0,0,0,0,0,0,5.09,0,0,2.5,22.41,0.81,0,0.84,0.96,0.87,5.81,7.7,0,0
 24-34,0,0,0,0.77,0,5.56,0,0,0,1.51,0,0,0,1.8,0,0,6.34,0,0,0.89,73.46,0,0.68,0,0.86,0,0.72,11.07,0.68,0.72
 36-46,0,0,0,0,0,2.33,0,0,0,2.13,0,0,0,0,0,0.66,8.45,0,0,0,72.97,0,0.56,0,5.74,0,0,11.74,0,0
 48-58,0,0,0,4.72,0,16.03,0,0,0.4,1.76,0,0,0,0,2.79,0,4.03,0,0.4,2.58,61.47,0,2.24,0,3.3,0,0,8.24,0,0
 60-70,0,0,0,0,0,38.89,3.45,1.49,0,1.97,0,0,0,0,0.82,0,13.88,0,0,0,56.13,0,0.76,0,0.64,0,0,2.31,0,0
 72-82,0,0,0,0.79,6.42,25.15,0,0,0,0.87,0,0,0,0,0,0,6.09,0,0.49,0,44.77,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,10.97,0,9.37,0,0,0,7.57,0,0.97,0.71,0,0,0,8.51,0,3.14,0.57,25.17,0,3.1,0,4.96,0,0,1.55,0,0
 96-106,0,0,0,0.81,0,8.38,0,0,0,1.02,0,0,0,0,0,0,17.3,0,0,0,17.3,0,0,0,0,0,0,0,1.82,0
108-118,0,0,0,2.52,0,14.34,0,0.5,0,4.89,0.48,0,0,0.8,0,0,3.59,0,0,0,32.85,0,1.58,0,0,0,0,0,2.56,0
120,0,0,0,12.34,0,27.05,0,1.31,0,0,0,0,0,2.43,0,0,2.83,3.54,0,3,56.9,0,0,0,0,0,0,0,0,0
