stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,59.27,410.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.11,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.45,861.37,0,0,0,0,0,0,0,0,0,64.26,0,0,0,0,0,0,0,0,0,0,43.02,0,0,0,12.15,0,43.53,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.76,27.82,92.02,0,0,27.59,0,0,0,0,0,174.08,0,0,0,0,0,0,0,0,0,0,358.24,38.47,0,0,89.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,6.21,153.07,0,0,24.36,0,0,0,0,0,74.6,0,0,0,0,0,0,0,0,0,3.87,447.52,39.5,0,0,130.16,0,13.43,5.62,0,10.14,0,0,0,0,0,0,0,0
 14-21,0,0,5.62,52.83,5.24,5.9,0,0,0,3.02,1.9,0,0,0,0.88,0,0,4.95,20.57,0,0,17.42,71.57,0.81,0,0,4.56,0,6.66,0,18.4,5.55,1.92,21.23,40.51,0,0,0,0,0
 24-34,0,0,7.6,7.45,0,3.58,0,0,0,3.05,1.02,0,0.89,0,1.72,0,0,15.39,13.67,0,0,13,82.81,3.83,0,0.73,0,0,5,0,0,2.54,0,2.52,28.63,0,0,0,0,0
 36-46,0,0,0,7.52,0,1.2,0,0,0.57,6.09,4.27,0,0,0,0,0,0,0,20.96,0,0,1.24,51.54,0.69,0,0,0,0,7.86,0,0,1.72,0,0,12.83,0,1.04,12.81,0,0
 48-58,0,0,0,2.53,0,1.13,0,0,0.5,11.46,0,0.37,0,0,0,0,0,0.37,25.3,0,0,3.5,23.6,0,0,0,0,0,3.18,0,0,0.83,0,0,9.86,0,0,0.46,0,0
 60-70,0,0,0,2.97,0,2.56,0,0,1.03,19.83,1.41,0,0,0,0,0,0.77,14.73,64.74,0,0,3.61,2.43,0,0.89,0.76,0,0,1.22,0,0,0,0,0,2.07,0,0.9,0,0,0
 72-82,0,0,0,4.9,0,8.91,0,0.58,8.21,25.78,1.03,0,0,1.92,0,0,1.43,2.67,78.17,0,0.63,4.34,17.06,0,1.64,3.64,0,3.32,8.84,0,0,0.68,0,0,12.52,0,1.76,0.68,2.4,0
 84-94,0,0,0,12.03,0,20.6,0,4.13,20.42,32.71,2.25,0,0.88,2.06,0.83,0,1.57,19.76,109.36,0.71,1.44,2.75,13.26,0,0,2.49,0,1.49,8.5,0,0,1.98,0,0,3.34,0,1.15,0,0,0
 96-106,0,0,0,18.89,0,15.05,0,2.08,8.53,54.62,4.2,0,0.62,36.4,0.67,0,0,19.58,306.35,0.81,8.43,24.49,52.69,0,2.01,1.67,0,9.17,9.92,0,0,0.89,0,0,17.41,0,6.03,0,5.78,0
108-118,0,0,0,31.02,0,13.11,0,8.5,19.42,56.85,3.09,0,2.73,21.42,0,1.41,0.52,27.79,452.68,0,12.07,13.43,42.05,0.5,2.8,13.88,0,17.67,14.23,0,0,1.65,0,0,8.25,0,4.53,0.99,1.52,1.16
120,0,0,0,29.53,0,24.24,2.52,10.7,48.46,76.21,0,0,1.85,124.87,0,0,4.26,18.98,604.18,3.22,33.77,8.84,73,2.28,0,0,0,16.03,1.08,0,0,3.59,0,0,5.55,1.99,8.78,0,0,0
