stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,59.85,993.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.04,0,0,0,0,0,0,0,0,0,0,0
  5-6,74.5,850.09,0,0,0,0,0,0,0,0,0,0,42.27,0,0,0,0,0,0,0,0,0,0,0,68.37,0,0,0,21.91,0,17.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.44,65.86,0,30.78,0,0,143.08,0,0,0,0,0,22.95,0,0,0,0,0,0,0,0,0,0,0,815.26,10.56,0,0,222.32,0,13.55,9.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,66.58,0,15.33,0,0,122.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,50.62,0,0,319.25,0,3.1,15.47,20.26,40.43,0,9.66,0,0,0,0,0,0
 14-21,0,0,0,2.11,10.74,1.24,12.36,0,0,0,0.87,0.85,0,0,0,0,0,0,0,0,6.56,0,0,7.53,157.79,0,0,0.99,1.21,0,5.35,0,14.7,0,1.2,7.38,50.45,0,0,1.83,0,0
 24-34,0,0,0,0.66,10.26,0,18.2,0,0,0.9,2.08,1.69,0,0,0,0,0,1.26,0,0,31.67,0,0,6.18,233.67,1.86,1.5,1.95,0,0,4.93,0,0.97,0,0,2.9,53.61,0,0,4.22,0,0
 36-46,0,0,0,0,0.69,0,33.03,0,0,0.78,10.81,0.56,0,0,0,0,0,0.95,0,0,23.87,0,0.89,4.75,319.25,0,1.29,2.46,0,0,2.45,0,0,0.7,0,0.69,57.59,0,0,0.65,0,0
 48-58,0,1.29,0,0,0,0,72.95,0,0.8,3.84,21.6,0,0,0,0.45,0,0,0.38,1.77,0.54,27.45,0,1.02,5.73,349.24,0.79,0.62,0,0,0,0.41,0,0,0,0,0,65.51,0,0,6.63,0,2.41
 60-70,0,0,0,0,0.71,0,90.42,0,0,4.91,34.54,0,0,0.84,0,4.25,0.66,0,0,0.72,47.89,0,3.47,5.29,323.94,0,0,0.94,0,0,5.01,0,0,0,0,0,61.44,0,0,3.66,0,0
 72-82,0,0,1.36,0,2.16,6.7,130.5,0,0,1.05,28.27,0,0,0,0,0.63,0,3.93,0,0,62.89,0,1.97,8.82,359.9,0,0.5,1.42,0,1.4,4.14,0,0,0,0,0,39.29,0.69,1.56,10.51,2.06,0
 84-94,0,0,1.05,0,15.09,1.41,73.47,0.55,1.8,1.19,18.28,0,0,0,0,0,0,0,0,0.56,49.95,0,0,2.01,200.18,1.33,0.7,2.23,0,0,6.92,0,0,0,0,0,25.7,0,0,9.81,3.05,0
 96-106,0,0,0,0,9.58,0,89.74,0,0,1.65,21.66,0.75,0,0,0.59,1.77,0.99,5.01,0,0,27.58,0,1.43,5.15,148.82,0.66,0,4.19,0,0,3.32,0,0,0,0,0,21.67,0,0.92,2.66,0,0
108-118,0,0,0,0,2.76,0,92.75,0.64,0,2.68,30.87,1.67,0,0,0.81,0.87,0.92,1.8,0,0,48.81,3.53,2.87,9.15,249.05,0,7.12,2.08,0,4.96,0.44,0,0,0,0,0,4.33,0,0,1.54,2.77,3.11
120,0,0,0,0,18.94,1.01,26.84,0,0,0,56.96,7.43,0,0,0,0,0,0,0,0,102.63,0,0,5.52,282.65,0,4.66,6.46,0,0,0,0,0,0,0,0,24.83,0,0,1.15,0,0
