stage,eye,glial,gut,mesenchyme,neural,periderm,visceral.smooth.muscle
 36-46,1.13,0,0,0,0,0,0
 48-58,0,0,0,0,1.13,0,0
 72-82,0,0.87,0,1.22,0,0,0
 96-106,0,0,1.06,2.98,1.57,1.01,0.68
108-118,0,2.21,0,0,0,0,0
