stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0.97,0,0,0,0,2.28,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,13.63,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,61.87,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.7,0,0,0,13.57,0,0,0,0,0,19.13,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0.94,0,0,0,0
 60-70,0,0,0,0,0,4.66,1.4,0,1.43,21.84,0,0,0,0.95,0,66.78,0,0,0,0,0,8.02,0,0,0,0,0,0,0,2.49,0,0,0,7.06
 72-82,0,0,0,8.32,0,21.28,0,0,0.88,5.97,0,0.59,0,0,0,287.59,0,1.23,0,0,0,61.57,0,0,0.51,0,0,0.63,0,0,1.7,0,0,0
 84-94,0,0,2.15,6.3,0,36.66,0,0,2.33,7.72,0,1.36,0,0,0,1035.58,0,7.61,0,0.71,0.76,64.73,6.7,0,0,1.31,2.28,0,0,10.69,0,1.26,0,0
 96-106,0,0,2.68,4.98,0,46.81,0,0,14.35,2.71,0,1.2,2.81,0.58,0.88,1084.68,0,24.67,5.07,0,1.26,181.97,0.75,0.56,0,0,10.39,0,0,3.8,0,3,0.74,6.4
108-118,0,1.15,5.63,2.61,1.93,47.29,0.49,3.59,3.54,1.24,2.59,0,0,0.71,0,1936.34,0.58,29.85,0,0,0.59,150.96,0,2.53,0,0,7.13,0.88,1.19,4.38,0,0.81,0,1.16
120,0,0,4.32,21.03,1.14,37.35,0,5.21,3.94,0,0,0,0,0,0,877,0,15.72,0,0,0,110.58,0,0,0,0,1.73,0,0,0,0,2.25,0,0
