stage,blastomeres,eye,neural,paraxial.mesoderm,pronephros
  3-4,35.87,0,0,0,0
  5-6,32.74,0,0,0,0
  7-9,0,14.42,26.03,0,0
 10-12,0,7.41,24.2,3.38,3.14
