stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.73,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,6.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,1.48,1.75,0,0,6.81,1.9,0,0,0,114.85,0,0,0,0,7.75,0,0
 36-46,0,0,0,0,0,4.94,0,4.42,0,0,0,0,0,5.33,0,0,0,0,0.89,6.31,0,0.72,13.15,1.62,0,0,0,816.28,0,0,0,0,0,0,0
 48-58,0,0,7.09,1.22,0,43.95,0,36.55,0,13.87,0,1.5,0,5.32,0,0,0,0.57,31.17,36.17,0.52,6.07,162.3,0.65,1.29,0.53,0,4017.42,0.47,29.88,0,0,3.86,0,1.08
 60-70,0,0,10.51,0,0,70.54,0,12.86,0,10.96,0,0,0,11.19,0,0,0,0,11.28,11.34,0,0,155.83,0,0,0,0,3941.17,0,4.63,0,0,0,0,17.14
 72-82,0,0,29.87,7.58,0,23.4,0,29.93,0,13.44,0,0.91,0,10.62,2.8,0,0,0,12.5,14.8,0,2.17,52.21,0,0,0,0,1934.41,0,3.75,0,0.81,0,0,0
 84-94,0,0,129.56,2.8,0,45.26,0.67,74,0,9.02,0.66,1.38,0,79.58,0,0.69,0,5.31,8.41,27.94,0,0,77.61,2.69,0,0.59,0,5443.63,0,0,0,0,6.25,0,0
 96-106,0,0,220.03,4.86,1.98,68.08,0,57.49,0,15.46,0.73,0,1.48,88.2,4.64,0,4.11,0,29.19,44.97,0,0.7,137.03,6.78,2.56,3.14,0,4478.85,0,8.69,0,0,5.37,1.67,0
108-118,0,0,267.8,5.49,0,28.04,1.47,101.22,0.8,4.59,2,0.49,1.07,124.11,0,0.89,0.6,0,18.94,46.16,0,1.59,62.2,0.44,0,0.9,0,4172.75,0,0,1,0,2.64,0.57,0
120,0,0,58.37,0,0,17.24,0,36.18,0,0,0,7.69,0,31.03,0,0,0,0,11.8,16.57,0,1.62,26.63,0,0,0,0,1158.85,0,0,0,0,0,0,9.68
